Word,MD,PartIndex,Part,Type,Meaning
enhanced,Words/e/enhanced.md,3,ed,suffix,过去/形容词
enhancement,Words/e/enhancement.md,1,en,prefix,使
enhancement,Words/e/enhancement.md,2,hance,stem,
enhancement,Words/e/enhancement.md,3,ment,suffix,名词后缀
enigma,Words/e/enigma.md,1,en,prefix,使
enigma,Words/e/enigma.md,2,igma,stem,
enigmatic,Words/e/enigmatic.md,1,en,prefix,使
enigmatic,Words/e/enigmatic.md,2,igmat,stem,
enigmatic,Words/e/enigmatic.md,3,ic,suffix,形容词后缀
enjoin,Words/e/enjoin.md,1,en,prefix,使
enjoin,Words/e/enjoin.md,2,join,stem,
enjoy,Words/e/enjoy.md,1,en,prefix,使
enjoy,Words/e/enjoy.md,2,joy,stem,
enjoyable,Words/e/enjoyable.md,1,en,prefix,使
enjoyable,Words/e/enjoyable.md,2,joy,stem,
enjoyable,Words/e/enjoyable.md,3,able,suffix,可
enjoyment,Words/e/enjoyment.md,1,en,prefix,使
enjoyment,Words/e/enjoyment.md,2,joy,stem,
enjoyment,Words/e/enjoyment.md,3,ment,suffix,名词后缀
enlarge,Words/e/enlarge.md,1,en,prefix,使
enlarge,Words/e/enlarge.md,2,large,stem,
enlarged,Words/e/enlarged.md,1,en,prefix,使
enlarged,Words/e/enlarged.md,2,larg,stem,
enlarged,Words/e/enlarged.md,3,ed,suffix,过去/形容词
enlargement,Words/e/enlargement.md,1,en,prefix,使
enlargement,Words/e/enlargement.md,2,large,stem,
enlargement,Words/e/enlargement.md,3,ment,suffix,名词后缀
enlighten,Words/e/enlighten.md,1,en,prefix,使
enlighten,Words/e/enlighten.md,2,lighten,stem,
enlightened,Words/e/enlightened.md,1,en,prefix,使
enlightened,Words/e/enlightened.md,2,lighten,stem,
enlightened,Words/e/enlightened.md,3,ed,suffix,过去/形容词
enlightenment,Words/e/enlightenment.md,1,en,prefix,使
enlightenment,Words/e/enlightenment.md,2,lighten,stem,
enlightenment,Words/e/enlightenment.md,3,ment,suffix,名词后缀
enlist,Words/e/enlist.md,1,en,prefix,使
enlist,Words/e/enlist.md,2,list,stem,
enlistment,Words/e/enlistment.md,1,en,prefix,使
enlistment,Words/e/enlistment.md,2,list,stem,
enlistment,Words/e/enlistment.md,3,ment,suffix,名词后缀
enliven,Words/e/enliven.md,1,en,prefix,使
enliven,Words/e/enliven.md,2,liven,stem,
enmity,Words/e/enmity.md,1,en,prefix,使
enmity,Words/e/enmity.md,2,mit,root,送
enmity,Words/e/enmity.md,3,y,suffix,形容词/名词后缀
enormity,Words/e/enormity.md,1,en,prefix,使
enormity,Words/e/enormity.md,2,orm,stem,
enormity,Words/e/enormity.md,3,ity,suffix,性质
enormous,Words/e/enormous.md,1,en,prefix,使
enormous,Words/e/enormous.md,2,orm,stem,
enormous,Words/e/enormous.md,3,ous,suffix,充满
enormously,Words/e/enormously.md,1,en,prefix,使
enormously,Words/e/enormously.md,2,ormous,stem,
enormously,Words/e/enormously.md,3,ly,suffix,副词后缀
enough,Words/e/enough.md,1,en,prefix,使
enough,Words/e/enough.md,2,ough,stem,
enquirer,Words/e/enquirer.md,1,en,prefix,使
enquirer,Words/e/enquirer.md,2,quir,stem,
enquirer,Words/e/enquirer.md,3,er,suffix,人/比较级
enrage,Words/e/enrage.md,1,en,prefix,使
enrage,Words/e/enrage.md,2,rage,stem,
enraged,Words/e/enraged.md,1,en,prefix,使
enraged,Words/e/enraged.md,2,rag,stem,
enraged,Words/e/enraged.md,3,ed,suffix,过去/形容词
enrich,Words/e/enrich.md,1,en,prefix,使
enrich,Words/e/enrich.md,2,rich,stem,
enriched,Words/e/enriched.md,1,en,prefix,使
enriched,Words/e/enriched.md,2,rich,stem,
enriched,Words/e/enriched.md,3,ed,suffix,过去/形容词
enrichment,Words/e/enrichment.md,1,en,prefix,使
enrichment,Words/e/enrichment.md,2,rich,stem,
enrichment,Words/e/enrichment.md,3,ment,suffix,名词后缀
enroll,Words/e/enroll.md,1,en,prefix,使
enroll,Words/e/enroll.md,2,roll,stem,
enrollment,Words/e/enrollment.md,1,en,prefix,使
enrollment,Words/e/enrollment.md,2,roll,stem,
enrollment,Words/e/enrollment.md,3,ment,suffix,名词后缀
ensconced,Words/e/ensconced.md,1,en,prefix,使
ensconced,Words/e/ensconced.md,2,sconc,stem,
ensconced,Words/e/ensconced.md,3,ed,suffix,过去/形容词
ensemble,Words/e/ensemble.md,1,en,prefix,使
ensemble,Words/e/ensemble.md,2,semble,stem,
enshrine,Words/e/enshrine.md,1,en,prefix,使
enshrine,Words/e/enshrine.md,2,shrine,stem,
enslave,Words/e/enslave.md,1,en,prefix,使
enslave,Words/e/enslave.md,2,slave,stem,
ensue,Words/e/ensue.md,1,en,prefix,使
ensue,Words/e/ensue.md,2,sue,stem,
ensuing,Words/e/ensuing.md,1,en,prefix,使
ensuing,Words/e/ensuing.md,2,suing,stem,
ensure,Words/e/ensure.md,1,en,prefix,使
ensure,Words/e/ensure.md,2,sure,stem,
entail,Words/e/entail.md,1,en,prefix,使
entail,Words/e/entail.md,2,tail,stem,
entangle,Words/e/entangle.md,1,en,prefix,使
entangle,Words/e/entangle.md,2,tangle,stem,
entanglement,Words/e/entanglement.md,1,en,prefix,使
entanglement,Words/e/entanglement.md,2,tangle,stem,
entanglement,Words/e/entanglement.md,3,ment,suffix,名词后缀
enter,Words/e/enter.md,1,en,prefix,使
enter,Words/e/enter.md,2,ter,stem,
enterprise,Words/e/enterprise.md,1,en,prefix,使
enterprise,Words/e/enterprise.md,2,terprise,stem,
enterprising,Words/e/enterprising.md,1,en,prefix,使
enterprising,Words/e/enterprising.md,2,terpris,stem,
enterprising,Words/e/enterprising.md,3,ing,suffix,进行/名词
entertain,Words/e/entertain.md,1,en,prefix,使
entertain,Words/e/entertain.md,2,tertain,stem,
entertainer,Words/e/entertainer.md,1,en,prefix,使
entertainer,Words/e/entertainer.md,2,tertain,stem,
entertainer,Words/e/entertainer.md,3,er,suffix,人/比较级
entertaining,Words/e/entertaining.md,1,en,prefix,使
entertaining,Words/e/entertaining.md,2,tertain,stem,
entertaining,Words/e/entertaining.md,3,ing,suffix,进行/名词
entertainment,Words/e/entertainment.md,1,en,prefix,使
entertainment,Words/e/entertainment.md,2,tertain,stem,
entertainment,Words/e/entertainment.md,3,ment,suffix,名词后缀
enthuse,Words/e/enthuse.md,1,en,prefix,使
enthuse,Words/e/enthuse.md,2,thuse,stem,
enthusiasm,Words/e/enthusiasm.md,1,en,prefix,使
enthusiasm,Words/e/enthusiasm.md,2,thusiasm,stem,
enthusiast,Words/e/enthusiast.md,1,en,prefix,使
enthusiast,Words/e/enthusiast.md,2,thusiast,stem,
enthusiastic,Words/e/enthusiastic.md,1,en,prefix,使
enthusiastic,Words/e/enthusiastic.md,2,thusiast,stem,
enthusiastic,Words/e/enthusiastic.md,3,ic,suffix,形容词后缀
enthusiastically,Words/e/enthusiastically.md,1,en,prefix,使
enthusiastically,Words/e/enthusiastically.md,2,thusiastical,stem,
enthusiastically,Words/e/enthusiastically.md,3,ly,suffix,副词后缀
entice,Words/e/entice.md,1,en,prefix,使
entice,Words/e/entice.md,2,tice,stem,
enticing,Words/e/enticing.md,1,en,prefix,使
enticing,Words/e/enticing.md,2,tic,stem,
enticing,Words/e/enticing.md,3,ing,suffix,进行/名词
entire,Words/e/entire.md,1,en,prefix,使
entire,Words/e/entire.md,2,tire,stem,
entirely,Words/e/entirely.md,1,en,prefix,使
entirely,Words/e/entirely.md,2,tire,stem,
entirely,Words/e/entirely.md,3,ly,suffix,副词后缀
entirety,Words/e/entirety.md,1,en,prefix,使
entirety,Words/e/entirety.md,2,tire,stem,
entirety,Words/e/entirety.md,3,ty,suffix,性质
entitle,Words/e/entitle.md,1,en,prefix,使
entitle,Words/e/entitle.md,2,title,stem,
entitlement,Words/e/entitlement.md,1,en,prefix,使
entitlement,Words/e/entitlement.md,2,title,stem,
entitlement,Words/e/entitlement.md,3,ment,suffix,名词后缀
entity,Words/e/entity.md,1,en,prefix,使
entity,Words/e/entity.md,2,tit,stem,
entity,Words/e/entity.md,3,y,suffix,形容词/名词后缀
entomologist,Words/e/entomologist.md,1,en,prefix,使
entomologist,Words/e/entomologist.md,2,log,root,说/学
entomologist,Words/e/entomologist.md,3,ist,suffix,人
entourage,Words/e/entourage.md,1,en,prefix,使
entourage,Words/e/entourage.md,2,tourage,stem,
entrance,Words/e/entrance.md,1,en,prefix,使
entrance,Words/e/entrance.md,2,trance,stem,
entrant,Words/e/entrant.md,1,en,prefix,使
entrant,Words/e/entrant.md,2,trant,stem,
entree,Words/e/entree.md,1,en,prefix,使
entree,Words/e/entree.md,2,tree,stem,
entrench,Words/e/entrench.md,1,en,prefix,使
entrench,Words/e/entrench.md,2,trench,stem,
entrenched,Words/e/entrenched.md,1,en,prefix,使
entrenched,Words/e/entrenched.md,2,trench,stem,
entrenched,Words/e/entrenched.md,3,ed,suffix,过去/形容词
entrepreneur,Words/e/entrepreneur.md,1,en,prefix,使
entrepreneur,Words/e/entrepreneur.md,2,trepreneur,stem,
entrepreneurial,Words/e/entrepreneurial.md,1,en,prefix,使
entrepreneurial,Words/e/entrepreneurial.md,2,trepreneuri,stem,
entrepreneurial,Words/e/entrepreneurial.md,3,al,suffix,形容词/名词后缀
entrepreneurship,Words/e/entrepreneurship.md,1,en,prefix,使
entrepreneurship,Words/e/entrepreneurship.md,2,trepreneur,stem,
entrepreneurship,Words/e/entrepreneurship.md,3,ship,suffix,关系/状态
entrust,Words/e/entrust.md,1,en,prefix,使
entrust,Words/e/entrust.md,2,trust,stem,
entry-level,Words/e/entry-level.md,1,en,prefix,使
entry-level,Words/e/entry-level.md,2,try-level,stem,
entry,Words/e/entry.md,1,en,prefix,使
entry,Words/e/entry.md,2,try,stem,
entryway,Words/e/entryway.md,1,en,prefix,使
entryway,Words/e/entryway.md,2,trywa,stem,
entryway,Words/e/entryway.md,3,y,suffix,形容词/名词后缀
entwine,Words/e/entwine.md,1,en,prefix,使
entwine,Words/e/entwine.md,2,twine,stem,
enumerate,Words/e/enumerate.md,1,en,prefix,使
enumerate,Words/e/enumerate.md,2,umerate,stem,
enunciate,Words/e/enunciate.md,1,en,prefix,使
enunciate,Words/e/enunciate.md,2,unciate,stem,
envelop,Words/e/envelop.md,1,en,prefix,使
envelop,Words/e/envelop.md,2,velop,stem,
envelope,Words/e/envelope.md,1,en,prefix,使
envelope,Words/e/envelope.md,2,velope,stem,
enviable,Words/e/enviable.md,1,en,prefix,使
enviable,Words/e/enviable.md,2,viable,stem,
envious,Words/e/envious.md,1,en,prefix,使
envious,Words/e/envious.md,2,vious,stem,
environment,Words/e/environment.md,1,en,prefix,使
environment,Words/e/environment.md,2,viron,stem,
environment,Words/e/environment.md,3,ment,suffix,名词后缀
environmental,Words/e/environmental.md,1,en,prefix,使
environmental,Words/e/environmental.md,2,vironment,stem,
environmental,Words/e/environmental.md,3,al,suffix,形容词/名词后缀
environmentalism,Words/e/environmentalism.md,1,en,prefix,使
environmentalism,Words/e/environmentalism.md,2,vironmental,stem,
environmentalism,Words/e/environmentalism.md,3,ism,suffix,主义
environmentalist,Words/e/environmentalist.md,1,en,prefix,使
environmentalist,Words/e/environmentalist.md,2,vironmental,stem,
environmentalist,Words/e/environmentalist.md,3,ist,suffix,人
environmentally,Words/e/environmentally.md,1,en,prefix,使
environmentally,Words/e/environmentally.md,2,vironmental,stem,
environmentally,Words/e/environmentally.md,3,ly,suffix,副词后缀
environs,Words/e/environs.md,1,en,prefix,使
environs,Words/e/environs.md,2,virons,stem,
envisage,Words/e/envisage.md,1,en,prefix,使
envisage,Words/e/envisage.md,2,vis,root,看
envision,Words/e/envision.md,1,en,prefix,使
envision,Words/e/envision.md,2,vis,root,看
envision,Words/e/envision.md,3,ion,suffix,名词后缀
envoy,Words/e/envoy.md,1,en,prefix,使
envoy,Words/e/envoy.md,2,voy,stem,
envy,Words/e/envy.md,1,env,stem,
envy,Words/e/envy.md,2,y,suffix,形容词/名词后缀
enzyme,Words/e/enzyme.md,1,en,prefix,使
enzyme,Words/e/enzyme.md,2,zyme,stem,
eon,Words/e/eon.md,1,eon,word,
ephemeral,Words/e/ephemeral.md,1,ephemer,stem,
ephemeral,Words/e/ephemeral.md,2,al,suffix,形容词/名词后缀
epic,Words/e/epic.md,1,epic,word,
epicenter,Words/e/epicenter.md,1,epicent,stem,
epicenter,Words/e/epicenter.md,2,er,suffix,人/比较级
epidemic,Words/e/epidemic.md,1,epidem,stem,
epidemic,Words/e/epidemic.md,2,ic,suffix,形容词后缀
epidemiological,Words/e/epidemiological.md,1,log,root,说/学
epidemiological,Words/e/epidemiological.md,2,ical,suffix,形容词后缀
epidemiologist,Words/e/epidemiologist.md,1,log,root,说/学
epidemiologist,Words/e/epidemiologist.md,2,ist,suffix,人
epidemiology,Words/e/epidemiology.md,1,log,root,说/学
epidemiology,Words/e/epidemiology.md,2,y,suffix,形容词/名词后缀
epilepsy,Words/e/epilepsy.md,1,epileps,stem,
epilepsy,Words/e/epilepsy.md,2,y,suffix,形容词/名词后缀
epiphany,Words/e/epiphany.md,1,epiphan,stem,
epiphany,Words/e/epiphany.md,2,y,suffix,形容词/名词后缀
episcopal,Words/e/episcopal.md,1,episcop,stem,
episcopal,Words/e/episcopal.md,2,al,suffix,形容词/名词后缀
episode,Words/e/episode.md,1,episode,word,
episodic,Words/e/episodic.md,1,episod,stem,
episodic,Words/e/episodic.md,2,ic,suffix,形容词后缀
epistemological,Words/e/epistemological.md,1,log,root,说/学
epistemological,Words/e/epistemological.md,2,ical,suffix,形容词后缀
epistemology,Words/e/epistemology.md,1,log,root,说/学
epistemology,Words/e/epistemology.md,2,y,suffix,形容词/名词后缀
epithet,Words/e/epithet.md,1,epithet,word,
epitome,Words/e/epitome.md,1,epitome,word,
epitomize,Words/e/epitomize.md,1,epitom,stem,
epitomize,Words/e/epitomize.md,2,ize,suffix,使成为
epoch,Words/e/epoch.md,1,epoch,word,
equal,Words/e/equal.md,1,equ,stem,
equal,Words/e/equal.md,2,al,suffix,形容词/名词后缀
equality,Words/e/equality.md,1,equal,stem,
equality,Words/e/equality.md,2,ity,suffix,性质
equalize,Words/e/equalize.md,1,equal,stem,
equalize,Words/e/equalize.md,2,ize,suffix,使成为
equally,Words/e/equally.md,1,equal,stem,
equally,Words/e/equally.md,2,ly,suffix,副词后缀
equate,Words/e/equate.md,1,equate,word,
equation,Words/e/equation.md,1,equ,stem,
equation,Words/e/equation.md,2,ation,suffix,名词后缀
equator,Words/e/equator.md,1,equat,stem,
equator,Words/e/equator.md,2,or,suffix,人/物
equatorial,Words/e/equatorial.md,1,equatori,stem,
equatorial,Words/e/equatorial.md,2,al,suffix,形容词/名词后缀
equestrian,Words/e/equestrian.md,1,equestrian,word,
equilibrium,Words/e/equilibrium.md,1,equilibrium,word,
equip,Words/e/equip.md,1,equip,word,
equipment,Words/e/equipment.md,1,equip,stem,
equipment,Words/e/equipment.md,2,ment,suffix,名词后缀
equitable,Words/e/equitable.md,1,equit,stem,
equitable,Words/e/equitable.md,2,able,suffix,可
equity,Words/e/equity.md,1,equ,stem,
equity,Words/e/equity.md,2,ity,suffix,性质
equivalence,Words/e/equivalence.md,1,equival,stem,
equivalence,Words/e/equivalence.md,2,ence,suffix,名词后缀
equivalent,Words/e/equivalent.md,1,equival,stem,
equivalent,Words/e/equivalent.md,2,ent,suffix,人/物
era,Words/e/era.md,1,era,word,
eradicate,Words/e/eradicate.md,1,eradicate,word,
eradication,Words/e/eradication.md,1,eradic,stem,
eradication,Words/e/eradication.md,2,ation,suffix,名词后缀
erase,Words/e/erase.md,1,erase,word,
eraser,Words/e/eraser.md,1,eras,stem,
eraser,Words/e/eraser.md,2,er,suffix,人/比较级
erect,Words/e/erect.md,1,erect,word,
erection,Words/e/erection.md,1,erec,stem,
erection,Words/e/erection.md,2,tion,suffix,名词后缀
erode,Words/e/erode.md,1,erode,word,
eroding,Words/e/eroding.md,1,erod,stem,
eroding,Words/e/eroding.md,2,ing,suffix,进行/名词
erosion,Words/e/erosion.md,1,ero,stem,
erosion,Words/e/erosion.md,2,sion,suffix,名词后缀
erotic,Words/e/erotic.md,1,erot,stem,
erotic,Words/e/erotic.md,2,ic,suffix,形容词后缀
err,Words/e/err.md,1,err,word,
errand,Words/e/errand.md,1,errand,word,
errant,Words/e/errant.md,1,err,stem,
errant,Words/e/errant.md,2,ant,suffix,人/物
erratic,Words/e/erratic.md,1,errat,stem,
erratic,Words/e/erratic.md,2,ic,suffix,形容词后缀
erroneous,Words/e/erroneous.md,1,errone,stem,
erroneous,Words/e/erroneous.md,2,ous,suffix,充满
erroneously,Words/e/erroneously.md,1,erroneous,stem,
erroneously,Words/e/erroneously.md,2,ly,suffix,副词后缀
error,Words/e/error.md,1,err,stem,
error,Words/e/error.md,2,or,suffix,人/物
erstwhile,Words/e/erstwhile.md,1,erstwhile,word,
erupt,Words/e/erupt.md,1,rupt,root,破
eruption,Words/e/eruption.md,1,erup,stem,
eruption,Words/e/eruption.md,2,tion,suffix,名词后缀
escalate,Words/e/escalate.md,1,escalate,word,
escalating,Words/e/escalating.md,1,escalat,stem,
escalating,Words/e/escalating.md,2,ing,suffix,进行/名词
escalation,Words/e/escalation.md,1,escal,stem,
escalation,Words/e/escalation.md,2,ation,suffix,名词后缀
escalator,Words/e/escalator.md,1,escalat,stem,
escalator,Words/e/escalator.md,2,or,suffix,人/物
escape,Words/e/escape.md,1,cap,root,抓/取
escaped,Words/e/escaped.md,1,cap,root,抓/取
escaped,Words/e/escaped.md,2,ed,suffix,过去/形容词
escaping,Words/e/escaping.md,1,cap,root,抓/取
escaping,Words/e/escaping.md,2,ing,suffix,进行/名词
eschew,Words/e/eschew.md,1,eschew,word,
escort,Words/e/escort.md,1,escort,word,
esophagus,Words/e/esophagus.md,1,esophagus,word,
esoteric,Words/e/esoteric.md,1,esoter,stem,
esoteric,Words/e/esoteric.md,2,ic,suffix,形容词后缀
especially,Words/e/especially.md,1,spec,root,看
especially,Words/e/especially.md,2,ly,suffix,副词后缀
espionage,Words/e/espionage.md,1,espionage,word,
espouse,Words/e/espouse.md,1,espouse,word,
espresso,Words/e/espresso.md,1,press,root,压
essay,Words/e/essay.md,1,essa,stem,
essay,Words/e/essay.md,2,y,suffix,形容词/名词后缀
essayist,Words/e/essayist.md,1,essay,stem,
essayist,Words/e/essayist.md,2,ist,suffix,人
essence,Words/e/essence.md,1,ess,stem,
essence,Words/e/essence.md,2,ence,suffix,名词后缀
essential,Words/e/essential.md,1,essenti,stem,
essential,Words/e/essential.md,2,al,suffix,形容词/名词后缀
essentially,Words/e/essentially.md,1,essential,stem,
essentially,Words/e/essentially.md,2,ly,suffix,副词后缀
establish,Words/e/establish.md,1,establish,word,
established,Words/e/established.md,1,establish,stem,
established,Words/e/established.md,2,ed,suffix,过去/形容词
establishment,Words/e/establishment.md,1,establish,stem,
establishment,Words/e/establishment.md,2,ment,suffix,名词后缀
estate,Words/e/estate.md,1,estate,word,
esteem,Words/e/esteem.md,1,esteem,word,
esteemed,Words/e/esteemed.md,1,esteem,stem,
esteemed,Words/e/esteemed.md,2,ed,suffix,过去/形容词
estimate,Words/e/estimate.md,1,estimate,word,
estimated,Words/e/estimated.md,1,estimat,stem,
estimated,Words/e/estimated.md,2,ed,suffix,过去/形容词
estimation,Words/e/estimation.md,1,estim,stem,
estimation,Words/e/estimation.md,2,ation,suffix,名词后缀
estranged,Words/e/estranged.md,1,estrang,stem,
estranged,Words/e/estranged.md,2,ed,suffix,过去/形容词
estrangement,Words/e/estrangement.md,1,estrange,stem,
estrangement,Words/e/estrangement.md,2,ment,suffix,名词后缀
estrogen,Words/e/estrogen.md,1,estrogen,word,
estuary,Words/e/estuary.md,1,estu,stem,
estuary,Words/e/estuary.md,2,ary,suffix,有关
etc,Words/e/etc.md,1,etc,word,
etch,Words/e/etch.md,1,etch,word,
etching,Words/e/etching.md,1,etch,stem,
etching,Words/e/etching.md,2,ing,suffix,进行/名词
eternal,Words/e/eternal.md,1,etern,stem,
eternal,Words/e/eternal.md,2,al,suffix,形容词/名词后缀
eternally,Words/e/eternally.md,1,eternal,stem,
eternally,Words/e/eternally.md,2,ly,suffix,副词后缀
eternity,Words/e/eternity.md,1,etern,stem,
eternity,Words/e/eternity.md,2,ity,suffix,性质
ethanol,Words/e/ethanol.md,1,ethanol,word,
ether,Words/e/ether.md,1,eth,stem,
ether,Words/e/ether.md,2,er,suffix,人/比较级
ethereal,Words/e/ethereal.md,1,ethere,stem,
ethereal,Words/e/ethereal.md,2,al,suffix,形容词/名词后缀
ethic,Words/e/ethic.md,1,eth,stem,
ethic,Words/e/ethic.md,2,ic,suffix,形容词后缀
ethical,Words/e/ethical.md,1,eth,stem,
ethical,Words/e/ethical.md,2,ical,suffix,形容词后缀
ethically,Words/e/ethically.md,1,ethical,stem,
ethically,Words/e/ethically.md,2,ly,suffix,副词后缀
ethicist,Words/e/ethicist.md,1,ethic,stem,
ethicist,Words/e/ethicist.md,2,ist,suffix,人
ethics,Words/e/ethics.md,1,ethics,word,
ethiopian,Words/e/ethiopian.md,1,ethiopian,word,
ethnic,Words/e/ethnic.md,1,ethn,stem,
ethnic,Words/e/ethnic.md,2,ic,suffix,形容词后缀
ethnically,Words/e/ethnically.md,1,ethnical,stem,
ethnically,Words/e/ethnically.md,2,ly,suffix,副词后缀
ethnicity,Words/e/ethnicity.md,1,ethnic,stem,
ethnicity,Words/e/ethnicity.md,2,ity,suffix,性质
ethnographer,Words/e/ethnographer.md,1,graph,root,写/画
ethnographer,Words/e/ethnographer.md,2,er,suffix,人/比较级
ethnographic,Words/e/ethnographic.md,1,graph,root,写/画
ethnographic,Words/e/ethnographic.md,2,ic,suffix,形容词后缀
ethnography,Words/e/ethnography.md,1,graph,root,写/画
ethnography,Words/e/ethnography.md,2,y,suffix,形容词/名词后缀
ethos,Words/e/ethos.md,1,ethos,word,
etiology,Words/e/etiology.md,1,log,root,说/学
etiology,Words/e/etiology.md,2,y,suffix,形容词/名词后缀
etiquette,Words/e/etiquette.md,1,etiquette,word,
eucharist,Words/e/eucharist.md,1,euchar,stem,
eucharist,Words/e/eucharist.md,2,ist,suffix,人
eucharistic,Words/e/eucharistic.md,1,eucharist,stem,
eucharistic,Words/e/eucharistic.md,2,ic,suffix,形容词后缀
eulogy,Words/e/eulogy.md,1,log,root,说/学
eulogy,Words/e/eulogy.md,2,y,suffix,形容词/名词后缀
euphemism,Words/e/euphemism.md,1,euphem,stem,
euphemism,Words/e/euphemism.md,2,ism,suffix,主义
euphoria,Words/e/euphoria.md,1,euphoria,word,
euphoric,Words/e/euphoric.md,1,euphor,stem,
euphoric,Words/e/euphoric.md,2,ic,suffix,形容词后缀
eureka,Words/e/eureka.md,1,eureka,word,
euro-american,Words/e/euro-american.md,1,euro-american,word,
euro,Words/e/euro.md,1,euro,word,
european,Words/e/european.md,1,european,word,
euthanasia,Words/e/euthanasia.md,1,euthanasia,word,
evacuate,Words/e/evacuate.md,1,evacuate,word,
evacuation,Words/e/evacuation.md,1,evacu,stem,
evacuation,Words/e/evacuation.md,2,ation,suffix,名词后缀
evacuee,Words/e/evacuee.md,1,evacuee,word,
evade,Words/e/evade.md,1,evade,word,
evaluate,Words/e/evaluate.md,1,evaluate,word,
evaluation,Words/e/evaluation.md,1,evalu,stem,
evaluation,Words/e/evaluation.md,2,ation,suffix,名词后缀
evaluative,Words/e/evaluative.md,1,evaluat,stem,
evaluative,Words/e/evaluative.md,2,ive,suffix,形容词后缀
evaluator,Words/e/evaluator.md,1,evaluat,stem,
evaluator,Words/e/evaluator.md,2,or,suffix,人/物
evangelical,Words/e/evangelical.md,1,evangel,stem,
evangelical,Words/e/evangelical.md,2,ical,suffix,形容词后缀
evangelist,Words/e/evangelist.md,1,evangel,stem,
evangelist,Words/e/evangelist.md,2,ist,suffix,人
evaporate,Words/e/evaporate.md,1,evaporate,word,
evaporation,Words/e/evaporation.md,1,evapor,stem,
evaporation,Words/e/evaporation.md,2,ation,suffix,名词后缀
evasion,Words/e/evasion.md,1,eva,stem,
evasion,Words/e/evasion.md,2,sion,suffix,名词后缀
evasive,Words/e/evasive.md,1,evas,stem,
evasive,Words/e/evasive.md,2,ive,suffix,形容词后缀
eve,Words/e/eve.md,1,eve,word,
even,Words/e/even.md,1,even,word,
evening,Words/e/evening.md,1,even,stem,
evening,Words/e/evening.md,2,ing,suffix,进行/名词
evenly,Words/e/evenly.md,1,even,stem,
evenly,Words/e/evenly.md,2,ly,suffix,副词后缀
event,Words/e/event.md,1,event,word,
eventual,Words/e/eventual.md,1,eventu,stem,
eventual,Words/e/eventual.md,2,al,suffix,形容词/名词后缀
eventually,Words/e/eventually.md,1,eventual,stem,
eventually,Words/e/eventually.md,2,ly,suffix,副词后缀
ever-changing,Words/e/ever-changing.md,1,ever-chang,stem,
ever-changing,Words/e/ever-changing.md,2,ing,suffix,进行/名词
ever-increasing,Words/e/ever-increasing.md,1,ever-increas,stem,
ever-increasing,Words/e/ever-increasing.md,2,ing,suffix,进行/名词
ever-present,Words/e/ever-present.md,1,ever-pres,stem,
ever-present,Words/e/ever-present.md,2,ent,suffix,人/物
ever,Words/e/ever.md,1,ever,word,
evergreen,Words/e/evergreen.md,1,evergreen,word,
everlasting,Words/e/everlasting.md,1,everlast,stem,
everlasting,Words/e/everlasting.md,2,ing,suffix,进行/名词
every,Words/e/every.md,1,ever,stem,
every,Words/e/every.md,2,y,suffix,形容词/名词后缀
everybody,Words/e/everybody.md,1,everybod,stem,
everybody,Words/e/everybody.md,2,y,suffix,形容词/名词后缀
everyday,Words/e/everyday.md,1,everyda,stem,
everyday,Words/e/everyday.md,2,y,suffix,形容词/名词后缀
everyone,Words/e/everyone.md,1,everyone,word,
everything,Words/e/everything.md,1,everyth,stem,
everything,Words/e/everything.md,2,ing,suffix,进行/名词
everywhere,Words/e/everywhere.md,1,everywhere,word,
evict,Words/e/evict.md,1,evict,word,
eviction,Words/e/eviction.md,1,evic,stem,
eviction,Words/e/eviction.md,2,tion,suffix,名词后缀
evidence-based,Words/e/evidence-based.md,1,vid,root,看
evidence-based,Words/e/evidence-based.md,2,ed,suffix,过去/形容词
evidence,Words/e/evidence.md,1,vid,root,看
evidence,Words/e/evidence.md,2,ence,suffix,名词后缀
evident,Words/e/evident.md,1,vid,root,看
evident,Words/e/evident.md,2,ent,suffix,人/物
evidently,Words/e/evidently.md,1,vid,root,看
evidently,Words/e/evidently.md,2,ly,suffix,副词后缀
evil,Words/e/evil.md,1,evil,word,
evince,Words/e/evince.md,1,evince,word,
evocation,Words/e/evocation.md,1,voc,root,声/叫
evocation,Words/e/evocation.md,2,ation,suffix,名词后缀
evocative,Words/e/evocative.md,1,voc,root,声/叫
evocative,Words/e/evocative.md,2,ive,suffix,形容词后缀
evoke,Words/e/evoke.md,1,evoke,word,
evolution,Words/e/evolution.md,1,evolu,stem,
evolution,Words/e/evolution.md,2,tion,suffix,名词后缀
evolutionary,Words/e/evolutionary.md,1,evolution,stem,
evolutionary,Words/e/evolutionary.md,2,ary,suffix,有关
evolve,Words/e/evolve.md,1,volv,root,卷
evolved,Words/e/evolved.md,1,volv,root,卷
evolved,Words/e/evolved.md,2,ed,suffix,过去/形容词
evolving,Words/e/evolving.md,1,volv,root,卷
evolving,Words/e/evolving.md,2,ing,suffix,进行/名词
ex-husband,Words/e/ex-husband.md,1,ex,prefix,出/前
ex-husband,Words/e/ex-husband.md,2,-husband,stem,
ex-wife,Words/e/ex-wife.md,1,ex,prefix,出/前
ex-wife,Words/e/ex-wife.md,2,-wife,stem,
exacerbate,Words/e/exacerbate.md,1,ex,prefix,出/前
exacerbate,Words/e/exacerbate.md,2,acerbate,stem,
