id,word,example_no,sentence,translation,word_meaning
004557,emerald,2,The forest was a deep emerald color in the sunlight.,森林在阳光的照耀下呈深翠绿的颜色。,翠绿色
004557,emerald,3,His eyes were as bright as emeralds.,他的眼睛像翡翠一样明亮。,祖母绿宝石
004558,emerge,1,The sun emerged from behind the clouds.,太阳从云层后面出现了。,出现；露出
004558,emerge,2,New evidence has emerged in the case.,此案出现了新的证据。,浮现；显现
004558,emerge,3,"After the long war, a new political order emerged.",长期战争结束后，新的政治秩序出现了。,形成；兴起
004559,emergence,1,The emergence of new technologies has changed our lives dramatically.,新技术的出现极大地改变了我们的生活。,出现；浮现
004559,emergence,2,The emergence of a leader is crucial for the success of a team.,领导者的出现对于团队的成功至关重要。,出现；显露
004559,emergence,3,The plant\'s emergence from the soil marks the beginning of its growth cycle.,植物从土壤中长出标志着其生长周期的开始。,冒出；露出
004560,emergency,1,The hospital has an emergency room for critical cases.,医院设有急诊室，专门处理危重病例。,紧急情况；突发事件
004560,emergency,2,"In an emergency, call the police immediately.",遇到紧急情况，请立即报警。,紧急情况；突发事件
004560,emergency,3,The government declared a state of emergency after the disaster.,灾难发生后，政府宣布进入紧急状态。,紧急状态
004561,emergent,1,The emergent technology has revolutionized the communication industry.,新兴技术彻底改变了通信行业。,新兴的
004561,emergent,2,"In an emergent situation, quick decisions are crucial.",在紧急情况下，快速决策至关重要。,紧急的
004561,emergent,3,The emergent leader showed great potential in handling the crisis.,这位新兴领导人在处理危机方面表现​​出了巨大的潜力。,新出现的
004562,emeritus,1,He is a professor emeritus of history.,他是历史学名誉教授。,名誉的；退休的
004562,emeritus,2,The emeritus minister was invited to the ceremony.,名誉部长应邀出席仪式。,退休的
004562,emeritus,3,She holds the position of doctor emeritus at the hospital.,她担任该医院的名誉医生。,名誉的
004563,emigrant,1,He is an emigrant from Italy who settled in the United States.,他是来自意大利的移民，定居美国。,移民（指从本国移居他国的人）
004563,emigrant,2,The emigrant left his homeland in search of better opportunities.,这位移民离开家乡寻找更好的机会。,移民
004563,emigrant,3,Emigrants often face many challenges in a new country.,移民在新的国家常常面临许多挑战。,移民
004564,emigrate,1,He decided to emigrate to Australia for a better life.,为了更好的生活，他决定移民到澳大利亚。,移民（指离开自己的国家并定居在另一个国家）
004564,emigrate,2,Many people emigrate from poor countries to rich ones in search of job opportunities.,许多人从贫穷国家移民到富裕国家寻找工作机会。,移民
004564,emigrate,3,She was forced to emigrate due to the war.,由于战争，她被迫移居国外。,移民
004565,emigration,1,Emigration from the country has increased in recent years.,近年来，来自该国的移民有所增加。,移民出境
004565,emigration,2,His emigration was due to the lack of job opportunities.,他的移民是由于缺乏工作机会。,移民出境
004565,emigration,3,The government is trying to control emigration to maintain the workforce.,政府正试图控制移民以维持劳动力。,移民出境
004566,emigre,1,The emigre struggled to adapt to the new culture in the foreign country.,流亡者努力适应异国的新文化。,移民
004566,emigre,2,Many emigres left their homeland due to political unrest.,许多移民因政治动荡而离开家园。,移民
004566,emigre,3,The emigre fondly recalled the memories of his hometown.,流亡者深情地回忆起家乡的往事。,移民
004567,eminent,1,He is an eminent scientist in the field of physics.,他是物理学领域的杰出科学家。,杰出的；卓越的
004567,eminent,2,The eminent author received numerous awards for her novels.,这位著名作家因其小说获得了无数奖项。,著名的；有名的
004567,eminent,3,The eminent judge was respected for her fairness and wisdom.,这位杰出的法官因其公正和智慧而受到尊敬。,杰出的；显著的
004568,emissary,1,The king sent an emissary to negotiate peace with the neighboring country.,国王派遣使者与邻国进行和平谈判。,使者；特使
004568,emissary,2,The company dispatched an emissary to explore new business opportunities in Asia.,公司派出特使前往亚洲探索新的商机。,使者；代表
004568,emissary,3,He acted as an emissary between the two warring factions.,他担任两个交战派别之间的使者。,使者；中间人
004569,emission,1,The emission of greenhouse gases is a major environmental concern.,温室气体的排放是一个主要的环境问题。,排放（名词，指物质的释放或散发）
004569,emission,2,The new car has lower emissions than the old model.,新车的排放量比旧车型要低。,排放量（名词，指排放的数量）
004569,emission,3,The factory was fined for excessive emissions of pollutants.,该工厂因污染物排放超标而被罚款。,排放（名词，指污染物等的释放）
004570,emit,1,The factory emits a large amount of smoke every day.,工厂每天排放大量的烟雾。,排放
004570,emit,2,The radio emits signals to communicate with other devices.,无线电发射信号与其他设备通信。,发射
004570,emit,3,The flower emits a pleasant fragrance.,这朵花散发出令人愉悦的香味。,散发
004571,emotion,1,She struggled to control her emotions during the intense argument.,在激烈的争论中，她努力控制自己的情绪。,情绪
004571,emotion,2,His face showed a mixture of emotions when he received the news.,当他收到这个消息时，他的脸上露出了复杂的情绪。,情绪
004571,emotion,3,Music has the power to evoke strong emotions.,音乐具有唤起强烈情感的力量。,情感
004572,emotional,1,She had an emotional breakdown after the loss of her job.,她在失业后情绪崩溃了。,情绪上的；情感的
004572,emotional,2,The movie was very emotional and made many people cry.,这部电影非常感人，让很多人落泪。,引起情感波动的
004572,emotional,3,He is an emotional person and often gets carried away by his feelings.,他是个情绪化的人，经常被自己的感情冲昏头脑。,感情用事的；易动感情的
004573,emotionally,1,She is emotionally unstable after the breakup.,分手后，她情绪不稳定。,在情绪方面
004573,emotionally,2,He responded emotionally rather than logically.,他的反应是情绪化的，而不是合乎逻辑的。,以情感的方式
004573,emotionally,3,The movie affected me emotionally.,这部电影在情感上打动了我。,在情感上
004574,empathetic,1,She is very empathetic and always understands how others feel.,她非常善解人意，总是能理解他人的感受。,善解人意的
004574,empathetic,2,The empathetic doctor comforted the worried patient.,这位富有同情心的医生安慰了忧心忡忡的病人。,富有同情心的
004574,empathetic,3,It\'s important to be empathetic when dealing with people\'s problems.,在处理人们的问题时，富有同理心是很重要的。,有同理心的
004575,empathize,1,I try to empathize with her when she\'s going through a hard time.,当她经历困难时期时，我努力去同情她。,同情；有同感
004575,empathize,2,He has the ability to empathize with people from all walks of life.,他有能力对各行各业的人产生共鸣。,产生共鸣；体谅
004575,empathize,3,It\'s important to empathize with your customers\' needs.,体谅你的客户的需求是很重要的。,体谅；理解
004576,empathy,1,She has a great deal of empathy for those who are suffering.,她对那些正在受苦的人怀有极大的同情心。,同情心
004576,empathy,2,The doctor showed empathy towards his patients\' concerns.,这位医生对患者的担忧表示同情。,同情
004576,empathy,3,It\'s important to develop empathy in order to understand others better.,为了更好地理解他人，培养同情心是很重要的。,同情心；同理心
004577,emperor,1,The emperor was highly respected by his subjects.,这位皇帝深受他的臣民尊敬。,皇帝
004577,emperor,2,The emperor ruled the empire with wisdom and kindness.,这位皇帝以智慧和仁慈统治着帝国。,皇帝
004577,emperor,3,The young emperor ascended the throne at the age of 18.,这位年轻的皇帝在 18 岁时登上了王位。,皇帝
004578,emphasis,1,The emphasis in this report is on economic growth.,这份报告的重点在于经济增长。,重点；强调
004578,emphasis,2,She put emphasis on the importance of good communication.,她强调了良好沟通的重要性。,强调
004578,emphasis,3,The design of the building has an emphasis on simplicity.,这座建筑的设计着重于简洁。,着重；重点
004579,emphasize,1,The teacher emphasized the importance of reading every day.,老师强调了每天阅读的重要性。,强调
004579,emphasize,2,He always emphasizes his achievements to others.,他总是向别人强调他的成就。,强调
004579,emphasize,3,The report emphasizes the need for better environmental protection.,这份报告强调了更好地保护环境的需求。,强调
004580,emphatic,1,She was emphatic that she had no intention of leaving.,她坚决表示自己无意离开。,坚决的
004580,emphatic,2,His reply was emphatic: \'No!\',"他的回答很坚决：""不！""",坚决的
004580,emphatic,3,The coach was emphatic in his praise of the team\'s performance.,教练极力称赞球队的表现。,极力的
004581,emphatically,1,He emphatically denied the accusation.,他坚决否认了这项指控。,坚决地
004581,emphatically,2,She shook her head emphatically.,她用力地摇头。,用力地
004581,emphatically,3,The doctor emphatically recommended a change in diet.,医生强烈建议改变饮食。,强烈地
004582,emphysema,1,He was diagnosed with emphysema after years of heavy smoking.,在多年大量吸烟后，他被诊断出患有肺气肿。,肺气肿
004582,emphysema,2,Emphysema can severely limit a person\'s ability to breathe.,肺气肿会严重限制一个人的呼吸能力。,肺气肿
004582,emphysema,3,The doctor explained that emphysema is a chronic lung disease.,医生解释说肺气肿是一种慢性肺病。,肺气肿
004583,empire,1,The Roman Empire was one of the most powerful in history.,罗马帝国是历史上最强大的帝国之一。,帝国
004583,empire,2,He built an empire in the business world through years of hard work.,通过多年的努力，他在商界建立了一个帝国。,大企业，大集团
004583,empire,3,The fashion empire she created has taken the world by storm.,她创建的时尚帝国在全球引起了轰动。,庞大的组织，王国
004584,empirical,1,Empirical research shows that exercise is beneficial for mental health.,经验性的研究表明锻炼对心理健康有益。,基于经验的；经验主义的
004584,empirical,2,We need more empirical data to support this theory.,我们需要更多的经验数据来支持这个理论。,以经验为依据的
004584,empirical,3,The empirical evidence contradicts his claim.,经验性的证据与他的主张相矛盾。,经验性的；实证的
004585,empirically,1,The theory has been empirically verified through numerous experiments.,这个理论已经通过大量的实验得到了经验性的验证。,以经验为依据地
004585,empirically,2,We need to approach this problem empirically rather than relying on speculation.,我们需要以经验的方式来处理这个问题，而不是依靠推测。,凭经验地
004585,empirically,3,"Empirically, it is found that this method is more effective in practice.",从经验上看，发现这种方法在实践中更有效。,根据经验
004586,employ,1,The company employs over 500 people.,这家公司雇用了 500 多人。,雇用
004586,employ,2,You should employ your time wisely.,你应该明智地利用时间。,利用
004586,employ,3,The police employed new tactics to catch the thief.,警方采用了新策略来抓小偷。,采用
004587,employee,1,The company has over 500 employees.,这家公司有超过 500 名员工。,员工
004587,employee,2,She is a hardworking employee.,她是一名勤奋的员工。,员工
004587,employee,3,The new employee was trained for a week.,这名新员工接受了一周的培训。,员工
004588,employer,1,The employer decided to give his employees a raise.,这位雇主决定给他的员工加薪。,雇主；老板
004588,employer,2,She has a good relationship with her employer.,她和她的雇主关系很好。,雇主；老板
004588,employer,3,The employer is responsible for providing a safe working environment.,雇主有责任提供一个安全的工作环境。,雇主；老板
004589,employment,1,She finally found employment as a teacher.,她最终找到了一份教师的工作。,工作；职业
004589,employment,2,The company provides employment for over 500 people.,这家公司为 500 多人提供了就业机会。,就业；雇用
004589,employment,3,Full employment is one of the government\'s main goals.,充分就业是政府的主要目标之一。,就业
004590,empower,1,The new law empowers the government to take decisive action.,新法律赋予政府采取果断行动的权力。,赋予\...\...权力
004590,empower,2,Education empowers individuals to pursue their dreams.,教育使个人有能力去追求他们的梦想。,使有能力
004590,empower,3,This program is designed to empower women in the workplace.,这个项目旨在增强职场女性的能力。,增强\...\...的能力
004591,emptiness,1,The vast emptiness of the desert made him feel lonely.,沙漠的广阔空旷让他感到孤独。,空旷；空虚
004591,emptiness,2,"She stared into the emptiness, lost in thought.",她凝视着空无一物的地方，陷入沉思。,空无一物；虚无
004591,emptiness,3,The emptiness of his promises became apparent over time.,随着时间的推移，他那些空洞的承诺变得显而易见。,空洞；无实质内容
004592,empty,1,The room was empty.,这个房间是空的。,空的；无人的
004592,empty,2,He emptied the bag of its contents.,他倒空了袋子里的东西。,使成为空的；倒空
004592,empty,3,Her promises always seem empty.,她的承诺似乎总是空洞的。,空洞的；无意义的
004593,emulate,1,She tried to emulate her sister\'s success in business.,她试图效仿她姐姐在商业上的成功。,效仿；努力赶上
004593,emulate,2,The young athlete hopes to emulate the achievements of the legendary sports star.,这位年轻的运动员希望能赶上那位传奇体育明星的成就。,与\...竞争；赶上
004593,emulate,3,We should emulate the good qualities of others instead of envying them.,我们应该效仿他人的优秀品质而不是嫉妒他们。,模仿；仿效
004594,enable,1,This new software enables us to work more efficiently.,这个新软件使我们能够更高效地工作。,使能够
004594,enable,2,Good education enables people to have better job opportunities.,良好的教育使人们有更好的工作机会。,使能够
004594,enable,3,The invention of the Internet enables global communication.,互联网的发明使全球通信成为可能。,使成为可能
004595,enact,1,The government enacted a new law to protect the environment.,政府制定了一项新的法律来保护环境。,制定；颁布
004595,enact,2,The play was enacted on the stage with great success.,这出戏在舞台上成功上演。,上演；表演
004595,enact,3,They enacted the scene of the robbery as accurately as possible.,他们尽可能准确地重现了抢劫的场景。,重现；展现
004596,enactment,1,The enactment of the new law has brought significant changes to the industry.,新法律的颁布给这个行业带来了重大的变化。,颁布；制定
004596,enactment,2,The enactment of this play was highly praised by the audience.,这部戏剧的上演受到了观众的高度赞扬。,上演；演出
004596,enactment,3,The enactment of the historical event was recreated vividly on the stage.,这个历史事件的重现生动地在舞台上展现出来。,重现；展现
004597,enamel,1,The enamel on her teeth was shiny and white.,她牙齿上的珐琅质闪闪发亮，洁白如雪。,珐琅质；搪瓷；瓷釉
004597,enamel,2,The artist used enamel to paint the beautiful landscape.,这位艺术家使用瓷釉来绘制美丽的风景。,瓷釉
004597,enamel,3,The enamel of the jewelry box was chipped.,这个首饰盒的搪瓷掉了一块。,搪瓷
004598,enamor,1,He was completely enamored of her beauty and charm.,他完全被她的美丽和魅力迷住了。,迷恋，倾心于
004598,enamor,2,The tourists were enamored with the scenic views of the countryside.,游客们被乡村的风景迷住了。,喜爱，着迷
004598,enamor,3,She has always been enamored of adventure stories.,她一直喜欢冒险故事。,热爱，钟情
004599,encampment,1,The soldiers set up an encampment near the mountains.,士兵们在山附近建立了一个营地。,营地
004599,encampment,2,We discovered an old encampment while hiking in the forest.,我们在森林徒步时发现了一个旧营地。,营地
004599,encampment,3,The refugees sought shelter in the encampment.,难民们在营地寻求庇护。,营地
004600,encapsulate,1,The report encapsulates the results of the research project.,这份报告概括了研究项目的成果。,概括
004600,encapsulate,2,This story encapsulates the essence of true friendship.,这个故事体现了真正友谊的本质。,体现
004600,encapsulate,3,The law encapsulates the rights and duties of citizens.,该法律涵盖了公民的权利和义务。,涵盖
004601,encase,1,The precious artifact was encased in a glass display box for protection.,这件珍贵的文物被装在一个玻璃展示盒里以作保护。,把\...装入，包住
004601,encase,2,The statue was encased in a thick layer of ice.,这座雕像被包裹在一层厚厚的冰里。,把\...围住，围住
004601,encase,3,The book was encased in a beautiful leather cover.,这本书被装在一个漂亮的皮套里。,把\...装进（套子等）
004602,enchant,1,The beautiful garden enchants everyone who visits it.,这座美丽的花园使每个来参观的人都陶醉。,使陶醉
004602,enchant,2,The fairy\'s song enchanted the prince and he followed her.,仙女的歌声迷住了王子，他跟着她走了。,迷住
004602,enchant,3,The story of the magic land enchants children.,那片神奇土地的故事让孩子们着迷。,使着迷
004603,enchanting,1,The enchanting music filled the concert hall.,迷人的音乐充满了音乐厅。,迷人的
004603,enchanting,2,She has an enchanting smile that lights up the room.,她有一个迷人的微笑，照亮了整个房间。,迷人的
004603,enchanting,3,The enchanting scenery of the mountains left us speechless.,山的迷人景色让我们说不出话来。,迷人的
004604,enchantment,1,The garden was filled with an enchanting fragrance.,花园里充满了迷人的香气。,迷人；魅力
004604,enchantment,2,The story held the children under its enchantment.,这个故事使孩子们着了迷。,着迷；陶醉
004604,enchantment,3,The beauty of the landscape was an enchantment to all who saw it.,这片风景的美丽令所有看到的人陶醉。,陶醉；魅力
004605,encircle,1,The soldiers encircled the enemy camp.,士兵们包围了敌人的营地。,包围
004605,encircle,2,The lake is encircled by beautiful mountains.,这个湖被美丽的山峦环绕着。,环绕
004605,encircle,3,The children encircled the teacher to ask questions.,孩子们围着老师提问。,围着
004606,enclave,1,The university campus is like an enclave of knowledge and creativity.,大学校园就像知识和创造力的飞地。,飞地；被包围的领土
004606,enclave,2,The wealthy neighborhood was an enclave of privilege and luxury.,这个富裕的社区是特权和奢华的飞地。,飞地；特殊区域
004606,enclave,3,The artist\'s studio was an enclave where he could freely express his creativity.,这位艺术家的工作室是一个他可以自由表达创造力的小天地。,小天地；独立区域
004607,enclose,1,Please enclose a copy of your ID with the application form.,请在申请表中附上一份您的身份证复印件。,附上；把......装入信封
004607,enclose,2,The garden is enclosed by a high fence.,花园被高高的栅栏围起来了。,围住；圈起
004607,enclose,3,The letter enclosed a check for \$500.,这封信里附了一张 500 美元的支票。,随函附上
004608,enclosed,1,The letter was enclosed in an envelope.,这封信被装在一个信封里。,被围住，被装入
004608,enclosed,2,The garden is enclosed by a high fence.,这个花园被高高的栅栏围着。,被围住，被圈起
004608,enclosed,3,Please find the enclosed document.,请查收随附的文件。,随附的，附上的
004609,enclosure,1,The zoo has a large enclosure for the lions.,动物园有一个供狮子使用的大围场。,围场；圈占地
004609,enclosure,2,The letter was accompanied by an enclosure of important documents.,这封信附有一份重要文件的附件。,附件
004609,enclosure,3,The farmer built an enclosure to protect his sheep from wolves.,这位农民建了一个围栏来保护他的羊免受狼的侵害。,围栏；围墙
004610,encode,1,The software is used to encode video files.,该软件用于对视频文件进行编码。,对\...\...进行编码
004610,encode,2,We need to encode the message before sending it.,在发送消息之前，我们需要对其进行编码。,对\...\...编码
004610,encode,3,The data was encoded in a special format.,数据以一种特殊格式被编码。,被编码
004611,encompass,1,The project encompasses a wide range of activities.,这个项目包含了各种各样的活动。,包含；包括
004611,encompass,2,The forest encompasses an area of several square kilometers.,这片森林涵盖了几平方公里的区域。,涵盖；包围
004611,encompass,3,"Her interests encompass music, art, and literature.",她的兴趣包括音乐、艺术和文学。,包括；涉及
004612,encore,1,The audience shouted \'encore\' after the amazing performance.,在精彩的表演结束后，观众大喊'再来一个'。,再来一个（表演、歌曲等）
004612,encore,2,The band came back on stage for an encore.,乐队回到舞台上进行加演。,（演员、音乐家等的）加演
004612,encore,3,She gave an encore of her most popular song.,她再次演唱了她最受欢迎的歌曲。,再次表演（节目）
004613,encounter,1,I encountered a problem while doing my homework.,我在做作业时遇到了一个问题。,遇到，碰到
004613,encounter,2,They encountered strong resistance during the military operation.,他们在军事行动中遭遇了强烈的抵抗。,遭遇，碰到
004613,encounter,3,The hiker encountered a beautiful waterfall in the forest.,这位徒步旅行者在森林里邂逅了一处美丽的瀑布。,邂逅，偶然碰到
004614,encourage,1,My parents always encourage me to study hard.,我的父母总是鼓励我努力学习。,鼓励
004614,encourage,2,The teacher\'s praise encouraged the students to do better.,老师的表扬鼓励学生们做得更好。,激励
004614,encourage,3,We should encourage innovation in our company.,我们应该在公司鼓励创新。,提倡；促进
004615,encouragement,1,I needed all the encouragement I could get.,我需要得到尽可能多的鼓励。,鼓励
004615,encouragement,2,Her encouragement gave me the confidence to continue.,她的鼓励给了我继续下去的信心。,鼓励
004615,encouragement,3,Thank you for your words of encouragement.,谢谢你鼓励的话语。,鼓励
004616,encouraging,1,The encouraging news lifted our spirits.,这个令人鼓舞的消息使我们精神振奋。,令人鼓舞的
004616,encouraging,2,Her encouraging words gave me the confidence to keep going.,她鼓励的话语给了我继续前进的信心。,鼓励的
004616,encouraging,3,The coach\'s encouraging smile made the athlete perform better.,教练鼓励的微笑让运动员表现得更好。,鼓励的；鼓舞人心的
004617,encroach,1,The sea is encroaching on the land.,大海正在侵蚀陆地。,侵蚀；侵占
004617,encroach,2,His work encroached on his family life.,他的工作侵占了他的家庭生活时间。,侵占；侵犯
004617,encroach,3,The new shopping center encroaches on the local park.,新的购物中心侵占了当地的公园。,侵占；蚕食
004618,encroachment,1,The encroachment of urban development on natural habitats is a growing concern.,城市发展对自然栖息地的侵占是一个日益令人担忧的问题。,侵占；蚕食
004618,encroachment,2,We must take action to prevent the encroachment of invasive species.,我们必须采取行动防止入侵物种的侵害。,侵害；侵犯
004618,encroachment,3,His encroachment on her personal space made her uncomfortable.,他对她个人空间的侵犯让她感到不舒服。,侵犯；侵入
004619,encyclopedia,1,I often refer to the encyclopedia when I have questions about history.,当我有关于历史的问题时，我经常查阅百科全书。,百科全书
004619,encyclopedia,2,The library has a large collection of encyclopedias.,图书馆有大量的百科全书收藏。,百科全书
004619,encyclopedia,3,She spent hours reading the encyclopedia to learn about different cultures.,她花了几个小时阅读百科全书来了解不同的文化。,百科全书
004620,end,1,The meeting came to an end at 5 p.m.,会议在下午 5 点结束。,结束
004620,end,2,He reached the end of the road.,他到达了路的尽头。,尽头
004620,end,3,"In the end, she decided to stay.",最终，她决定留下来。,最终
004621,endanger,1,The illegal hunting of wild animals endangers their survival.,非法捕猎野生动物危及它们的生存。,危及
004621,endanger,2,Pollution seriously endangers the health of local residents.,污染严重危及当地居民的健康。,危害
004621,endanger,3,His actions endanger the safety of the entire team.,他的行为危及整个团队的安全。,使处于危险之中
004622,endangered,1,The panda is an endangered species.,熊猫是一种濒危物种。,处于濒危状态的
004622,endangered,2,Many endangered animals need our protection.,许多濒危动物需要我们的保护。,濒危的
004622,endangered,3,The forest is home to several endangered plants.,这片森林是几种濒危植物的家园。,濒临灭绝的
004623,endear,1,Her kindness endeared her to everyone in the community.,她的善良使她受到社区里每个人的喜爱。,使受喜爱；使受钟爱
004623,endear,2,His sense of humor endeared him to his colleagues.,他的幽默感使他深受同事们的喜爱。,使受喜爱；使受钟爱
004623,endear,3,The puppy\'s cute antics endeared it to the family.,小狗可爱的滑稽动作使它受到这家人的喜爱。,使受喜爱；使受钟爱
004624,endearing,1,Her endearing smile always brightens up the room.,她那迷人的微笑总是能让房间亮起来。,迷人的
004624,endearing,2,The puppy\'s endearing antics made us all laugh.,小狗可爱的滑稽动作让我们都笑了。,可爱的
004624,endearing,3,His endearing personality makes him very popular among his friends.,他讨人喜欢的性格使他在朋友中很受欢迎。,讨人喜欢的
004625,endeavor,1,He made every endeavor to find a job.,他竭尽全力找工作。,努力；尽力
004625,endeavor,2,The team\'s endeavor to win the championship was highly commendable.,这个团队为赢得冠军所做的努力非常值得称赞。,努力；尝试
004625,endeavor,3,We should endeavor to improve our skills.,我们应该努力提高我们的技能。,努力；尽力
004626,endemic,1,Malaria is endemic in many tropical countries.,疟疾在许多热带国家是地方病。,地方性的；某地特有的
004626,endemic,2,The plant is endemic to this region.,这种植物是这个地区特有的。,（动植物）特产的，特有的
004626,endemic,3,Corruption seems to be endemic in the political system.,腐败似乎在政治体制中根深蒂固。,（不良情况）普遍存在的，流行的
004627,ending,1,The movie had a happy ending.,这部电影有一个幸福的结局。,结局；结尾
004627,ending,2,The story\'s ending was quite unexpected.,这个故事的结局非常出乎意料。,结局；收尾
004627,ending,3,The ending of the book left me wanting more.,这本书的结尾让我还想读更多。,结尾；结束部分
004628,endless,1,The desert seemed endless as we drove through it.,当我们开车穿过沙漠时，沙漠似乎无边无际。,无边无际的；无止境的
004628,endless,2,She was tired of the endless complaints from her colleagues.,她厌倦了同事们没完没了的抱怨。,没完没了的；不断的
004628,endless,3,The possibilities for improvement are endless.,改进的可能性是无穷无尽的。,无穷无尽的
004629,endlessly,1,She talked endlessly about her problems.,她没完没了地谈论她的问题。,不停地；没完没了地
004629,endlessly,2,The river flows endlessly to the sea.,这条河不停地流向大海。,不断地；持续地
004629,endlessly,3,He searched endlessly for the lost key.,他不停地寻找丢失的钥匙。,无休止地；不停地
004630,endorse,1,The famous athlete endorsed the new sports drink.,这位著名的运动员为新的运动饮料做代言。,代言；支持
004630,endorse,2,The politician\'s views were endorsed by a majority of the public.,这位政治家的观点得到了大多数公众的支持。,支持；赞同
004630,endorse,3,I cannot endorse your decision to quit school.,我不能赞同你退学的决定。,赞同；认可
004631,endorsement,1,The athlete received a major endorsement from a sports brand.,这位运动员获得了一家体育品牌的重大支持。,支持；认可；背书
004631,endorsement,2,The politician\'s endorsement of the new policy was seen as a crucial step.,这位政客对新政策的支持被视为关键的一步。,支持；赞同
004631,endorsement,3,The product gained popularity through celebrity endorsements.,该产品通过名人的代言而变得受欢迎。,代言；推荐
004632,endoscopic,1,The doctor performed an endoscopic examination of the patient\'s stomach.,医生对病人的胃进行了内镜检查。,内镜的；内窥镜的
004632,endoscopic,2,Endoscopic surgery is less invasive than traditional methods.,内窥镜手术比传统方法的侵入性更小。,内镜的；内窥镜的
004632,endoscopic,3,The endoscopic image showed a small tumor.,内镜图像显示了一个小肿瘤。,内镜的；内窥镜的
004633,endow,1,The rich man endowed the hospital with a large sum of money.,这位富人向医院捐赠了一大笔钱。,捐赠；资助
004633,endow,2,Nature has endowed her with a beautiful voice.,大自然赋予了她优美的嗓音。,赋予；天生具有
004633,endow,3,The scholarship endowed by the company helps many students.,由该公司资助的奖学金帮助了很多学生。,资助；提供
004634,endowment,1,The university received a large endowment from a wealthy alumnus.,这所大学从一位富有的校友那里收到了一大笔捐赠。,捐赠；捐款
004634,endowment,2,She has an endowment of intelligence and charm.,她天生聪明且富有魅力。,天赋；天资
004634,endowment,3,The endowment policy will mature in ten years.,这份养老保险单将在十年后到期。,养老保险金
004635,endurance,1,His endurance was remarkable during the long marathon.,在漫长的马拉松比赛中，他的耐力非常出色。,耐力；忍耐力
004635,endurance,2,The athlete\'s training focused on building endurance.,这位运动员的训练重点在于培养耐力。,耐力
004635,endurance,3,She showed great endurance in the face of difficult circumstances.,在困难的情况下，她表现出了极大的忍耐力。,忍耐力
004636,endure,1,She endured the pain with remarkable strength.,她以非凡的力量忍受着疼痛。,忍受；忍耐
004636,endure,2,The building has endured for centuries.,这座建筑已经存在了几个世纪。,持续；持久
004636,endure,3,He had to endure the humiliation of being fired.,他不得不忍受被解雇的耻辱。,承受；忍受
004637,enduring,1,Her enduring love for him never faded.,她对他持久的爱从未褪色。,持久的；持续的
004637,enduring,2,The mountain has an enduring beauty that attracts tourists all year round.,这座山有一种持久的美，全年都吸引着游客。,持久的；永恒的
004637,enduring,3,His enduring patience helped him succeed in the end.,他持久的耐心最终帮助他成功了。,持久不变的；忍耐的
004638,enemy,1,The enemy was defeated in the battle.,敌人在战斗中被打败了。,敌人
004638,enemy,2,He regarded his boss as his enemy.,他把他的老板视为敌人。,敌人；对手
004638,enemy,3,Fighting the common enemy united us.,与共同的敌人作战使我们团结起来。,敌人
004639,energetic,1,She is an energetic girl who loves sports.,她是一个热爱运动、精力充沛的女孩。,精力充沛的
004639,energetic,2,The energetic performance of the band got the crowd excited.,乐队充满活力的表演让观众兴奋起来。,充满活力的
004639,energetic,3,He always has an energetic start to his day.,他每天总是精力充沛地开始。,精力旺盛的
004640,energetically,1,She danced energetically on the stage.,她在舞台上充满活力地跳舞。,充满活力地
004640,energetically,2,The athletes competed energetically in the race.,运动员们在比赛中精力充沛地竞争。,精力充沛地
004640,energetically,3,He worked energetically to finish the project on time.,他精力旺盛地工作以按时完成项目。,精力旺盛地
004641,energize,1,The new policy is expected to energize the economy.,新政策有望为经济注入活力。,使充满活力；使精力充沛
004641,energize,2,Exercise can energize you and improve your mood.,锻炼可以让你精力充沛并改善你的心情。,使有能量；使活跃
004641,energize,3,The coach\'s speech energized the team before the game.,教练在比赛前的讲话让团队充满了活力。,激励；激发
004642,energy,1,She is always full of energy.,她总是充满活力。,活力；精力
004642,energy,2,We need to save energy to protect the environment.,我们需要节约能源以保护环境。,能源
004642,energy,3,The solar panels can convert sunlight into energy.,太阳能电池板可以把阳光转化为能量。,能量
004643,enforce,1,The police enforce the law to maintain social order.,警察执法以维护社会秩序。,执行，实施（法律、规定等）
004643,enforce,2,The company has to enforce strict safety regulations.,公司必须施行严格的安全规定。,强制实行，强迫
004643,enforce,3,The new manager is determined to enforce discipline in the workplace.,新经理决心在工作场所强化纪律。,加强，强化
004644,enforceable,1,The law is enforceable and must be obeyed.,这项法律是可强制执行的，必须遵守。,可强制执行的
004644,enforceable,2,The contract is not enforceable due to certain legal flaws.,由于某些法律漏洞，这份合同不可强制执行。,可强制执行的
004644,enforceable,3,The new regulations are enforceable immediately.,新规定立即生效并可强制执行。,可强制执行的
004645,enforcement,1,The enforcement of traffic laws is essential for road safety.,交通法规的执行对于道路安全至关重要。,执行；实施
004645,enforcement,2,The police are responsible for the enforcement of the curfew.,警察负责宵禁的执行。,执行；实施
004645,enforcement,3,Strong enforcement measures are needed to combat illegal fishing.,需要强有力的执法措施来打击非法捕鱼。,执法；强制实施
004646,engage,1,The company is engaged in the development of new technologies.,这家公司从事新技术的开发。,从事；忙于
004646,engage,2,She engaged him in conversation.,她和他攀谈起来。,使参与；使参加
004646,engage,3,The gears engaged smoothly.,齿轮啮合得很顺畅。,（使）啮合
