id,word,pos,uk,us,meaning,file
005024,express,adj.,ɪk\'spres; ek-,ɪk\'sprɛs,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式",C:\GTT\EnglishDB\Words\e\express.md
005025,expressionless,adj.,ɪkˈspreʃənləs,ɪkˈspreʃənləs,adj.无表情的,C:\GTT\EnglishDB\Words\e\expressionless.md
005026,expressive,adj.,ɪk\'spresɪv; ek-,ɪk\'sprɛsɪv,"adj.表现的,表达\...的,有表现力的,富于表情的",C:\GTT\EnglishDB\Words\e\expressive.md
005027,expressly,adv.,ɪk\'spreslɪ; ek-,ɪk\'sprɛsli,"adv.明白地,特别地,清楚地",C:\GTT\EnglishDB\Words\e\expressly.md
005028,expulsion,n.,ɪk\'spʌlʃ(ə)n; ek-,ɪk\'spʌlʃən,"n.逐出,开除",C:\GTT\EnglishDB\Words\e\expulsion.md
005029,exquisite,adj.,\'ekskwɪzɪt; ɪk\'skwɪzɪt; ek-,ɪk\'skwɪzɪt,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的",C:\GTT\EnglishDB\Words\e\exquisite.md
005030,exquisitely,adv.,ˈɛkskwɪzɪtli,ˌɛkˈskwɪzɪtli,"adv.精巧地,敏锐地",C:\GTT\EnglishDB\Words\e\exquisitely.md
005031,extant,adj.,ɪk\'stænt; ek-; \'ekst(ə)nt,ɛk\'stænt,"adj.现存的,未毁的,\<古>突出的,显著的",C:\GTT\EnglishDB\Words\e\extant.md
005032,extend,v.,ɪk\'stend; ek-,ɪk\'stɛnd,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,\<英>[律]对(地产等)估价",C:\GTT\EnglishDB\Words\e\extend.md
005033,extended,adj.,ɪk\'stendɪd; ek-,ɪk\'stɛndɪd,"adj.伸出的,延长的,广大的,扩大范围的,长期的",C:\GTT\EnglishDB\Words\e\extended.md
005034,extension,n.,ɪk\'stenʃ(ə)n; ek-,ɪk\'stɛnʃən,"n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的",C:\GTT\EnglishDB\Words\e\extension.md
005035,extensive,adj.,ɪk\'stensɪv; ek-,ɪk\'stɛnsɪv,"adj.广大的,广阔的,广泛的",C:\GTT\EnglishDB\Words\e\extensive.md
005036,extensively,adv.,ɪksˈtɛnsɪvli,ɪkˈstɛnsɪvli,adv.广阔地,C:\GTT\EnglishDB\Words\e\extensively.md
005037,extent,n.,ɪk\'stent; ek-,ɪk\'stɛnt,"n.广度,宽度,长度,范围,程度,区域,[律]\<英>扣押,\<美>临时所有权令",C:\GTT\EnglishDB\Words\e\extent.md
005038,exterior,adj.,ɪk\'stɪərɪə; ek-,ɪk\'stɪrɪɚ,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型",C:\GTT\EnglishDB\Words\e\exterior.md
005039,exterminate,v.,ɪk\'stɜːmɪneɪt; ek-,ɪk\'stɝmə\'net,v.消除,C:\GTT\EnglishDB\Words\e\exterminate.md
005040,extermination,n.,ɪksˌtɜːmɪˈneɪʃən,ɪkˌstɜrməˈneɪʃən,"n.消灭,根绝",C:\GTT\EnglishDB\Words\e\extermination.md
005041,external,adj.,ɪk\'stɜːn(ə)l; ek-,,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面",C:\GTT\EnglishDB\Words\e\external.md
005042,externality,n.,",ekstɜː\'nælɪtɪ",",ɛkstɚ\'næləti","n.外形,外在性,讲究外表",C:\GTT\EnglishDB\Words\e\externality.md
005043,externalize,vt.,ɪkˈstɜːnəlaɪz,ɪkˈstɜːrnəlaɪz,"vt.给\...以外形,使客观化,使具体化",C:\GTT\EnglishDB\Words\e\externalize.md
005044,externally,adv.,ɛksˈtɜːnli,ɪkˈstɜrnəli,"adv.外表上,外形上",C:\GTT\EnglishDB\Words\e\externally.md
005045,extinct,adj.,ɪk\'stɪŋkt; ek-,ɪk\'stɪŋkt,"adj.熄灭的,灭绝的,耗尽的vt.\<古>使熄灭",C:\GTT\EnglishDB\Words\e\extinct.md
005046,extinction,n.,ɪk\'stɪŋ(k)ʃ(ə)n; ek-,ɪk\'stɪŋkʃən,"n.消失,消灭,废止,[物]消光",C:\GTT\EnglishDB\Words\e\extinction.md
005047,extinguish,vt.,ɪkˈstɪŋgwɪʃ,ɪk\'stɪŋɡwɪʃ,"vt.熄灭,消灭,压制,使黯然失色,偿清",C:\GTT\EnglishDB\Words\e\extinguish.md
005048,extinguisher,n.,ɪk\'stɪŋgwɪʃə; ek-,ɪk\'stɪŋɡwɪʃɚ,"n.熄灭者,灭火器",C:\GTT\EnglishDB\Words\e\extinguisher.md
005049,extol,v.,ɪk\'stəʊl; ek-,ɪk\'stol,v.赞美,C:\GTT\EnglishDB\Words\e\extol.md
005050,extortion,n.,ɪk\'stɔːʃ(ə)n; ek-,ɪk\'stɔrʃən,"n.勒索,敲诈,强取,被勒索的财物",C:\GTT\EnglishDB\Words\e\extortion.md
005051,extra,adj.,\'ekstrə,\'ɛkstrə,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员",C:\GTT\EnglishDB\Words\e\extra.md
005052,extract,n.,ˈekstrækt; ɪkˈstrækt,,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取",C:\GTT\EnglishDB\Words\e\extract.md
005053,extraction,n.,ɪk\'strækʃ(ə)n; ek-,ɪk\'strækʃən,"n.抽出,取出,[化]提取(法)萃取法,抽出物,摘要,血统,[数]开方(法)",C:\GTT\EnglishDB\Words\e\extraction.md
005054,extracurricular,adj.,ekstrəkə\'rɪkjʊlə,",ɛkstrəkə\'rɪkjəlɚ","adj.课外的,业余的",C:\GTT\EnglishDB\Words\e\extracurricular.md
005055,extradition,n.,ekstrə\'dɪʃ(ə)n,",ɛkstrə\'dɪʃən",n.(根据条约或法令对逃犯等的)引渡,C:\GTT\EnglishDB\Words\e\extradition.md
005056,extramarital,adj.,",ekstrə\'mærɪt(ə)l",",ɛkstrə\'mærɪtl",adj.私通的,C:\GTT\EnglishDB\Words\e\extramarital.md
005057,extraneous,adj.,ɪk\'streɪnɪəs; ek-,ɪk\'strenɪəs,"adj.无关系的,外来的,[化]外部裂化,[化]新异反射",C:\GTT\EnglishDB\Words\e\extraneous.md
005058,extraordinarily,adv.,ɪk\'strɔːd(ə)n(ə)rəlɪ,ɪk\'strɔdɪn(ə)rəlɪ,adv.格外地,C:\GTT\EnglishDB\Words\e\extraordinarily.md
005059,extraordinary,adj.,ɪkˈstrɔːdənrɪ,ɛkˈstrɔrdənˌɛri,"adj.非常的,特别的,非凡的,特派的",C:\GTT\EnglishDB\Words\e\extraordinary.md
005060,extrapolate,v.,ɪk\'stræpəleɪt; ek-,ɪk\'stræpə\'let,"v.推断,[数]外推",C:\GTT\EnglishDB\Words\e\extrapolate.md
005061,extraterrestrial,adj.,",ekstrətə\'restrɪəl",\'ɛkstrətə\'rɛstrɪəl,"adj.地球外的,宇宙的",C:\GTT\EnglishDB\Words\e\extraterrestrial.md
005062,extravagance,n.,ɪk\'strævəg(ə)ns; ek-,ɪk\'strævəɡəns,"n.奢侈,铺张,过度,放纵的言行",C:\GTT\EnglishDB\Words\e\extravagance.md
005063,extravagant,adj.,ɪk\'strævəg(ə)nt; ek-,ɪk\'strævəgənt,"adj.奢侈的,浪费的,过分的,放纵的",C:\GTT\EnglishDB\Words\e\extravagant.md
005064,extravaganza,n.,"ɪk,strævə\'gænzə; ek-","ɪk,strævə\'ɡænzə","n.内容狂妄的作品,狂妄的言行",C:\GTT\EnglishDB\Words\e\extravaganza.md
005065,extreme,adj.,ɪk\'striːm; ek-,ɪk\'strim,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物",C:\GTT\EnglishDB\Words\e\extreme.md
005066,extremely,adv.,ɪk\'striːmlɪ; ek-,ɪk\'strimli,"adv.极端地,非常地",C:\GTT\EnglishDB\Words\e\extremely.md
005067,extremism,n.,ɪk\'striːmɪz(ə)m; ek-,ɪk\'strimɪzəm,"n.极端的倾向,过激主义,极端论",C:\GTT\EnglishDB\Words\e\extremism.md
005068,extremist,n.,ɪk\'striːmɪst; ek-,ɪk\'strimɪst,"n.极端主义者,过激分子adj.极端主义(者)",C:\GTT\EnglishDB\Words\e\extremist.md
005069,extremity,n.,ɪk\'stremɪtɪ; ek-,ɪk\'strɛməti,"n.末端,极端,极度,穷困,绝境,临死,非常手段,手足",C:\GTT\EnglishDB\Words\e\extremity.md
005070,extrinsic,adj.,ɪk\'strɪnsɪk; ek-,ɛks\'trɪnsɪk,"adj.外在的,外表的,外来的",C:\GTT\EnglishDB\Words\e\extrinsic.md
005071,exuberance,n.,ɪg\'z(j)uːb(ə)r(ə)ns; eg-,ɪg\'zjʊbərəns,"n.茂盛,丰富,健康",C:\GTT\EnglishDB\Words\e\exuberance.md
005072,exuberant,adj.,ɪɡˈzjuːbərənt,ɪɡˈzuːbərənt,"adj.繁茂的,丰富的,非凡的,(语言等)华而不实的",C:\GTT\EnglishDB\Words\e\exuberant.md
005073,exude,v.,ɪg\'zjuːd; eg-,ɪɡ\'zud,"v.(使)流出,(使)渗出,发散开来",C:\GTT\EnglishDB\Words\e\exude.md
005074,eye,n.,aɪ,aɪ,"n.眼睛,视力,眼光,观点,见解,眼状物,风吹来的方向,[气]风眼vt.看,注视,在\...上打眼",C:\GTT\EnglishDB\Words\e\eye.md
005075,eyeball,n.,\'aɪbɔːl,\'aɪbɔl,"n.眼球,眼珠子",C:\GTT\EnglishDB\Words\e\eyeball.md
005076,eyebrow,n.,\'aɪbraʊ,\'aɪbraʊ,n.眉毛,C:\GTT\EnglishDB\Words\e\eyebrow.md
005077,eyeglass,n.,\'aɪglɑːs,\'aɪɡlæs,"n.镜片,[复]眼镜",C:\GTT\EnglishDB\Words\e\eyeglass.md
005078,eyelash,n.,\'aɪlæʃ,\'aɪ\'læʃ,n.睫毛,C:\GTT\EnglishDB\Words\e\eyelash.md
005079,eyelid,n.,\'aɪlɪd,"\'aɪ,lɪd","n.眼皮,眼睑",C:\GTT\EnglishDB\Words\e\eyelid.md
005080,eyepiece,n.,\'aɪpiːs,\'aɪ\'pis,n.目镜,C:\GTT\EnglishDB\Words\e\eyepiece.md
005081,eyesight,n.,\'aɪsaɪt,\'aɪsaɪt,"n.视力,目力",C:\GTT\EnglishDB\Words\e\eyesight.md
005082,eyewitness,n.,\'aɪwɪtnɪs,\'aɪwɪtnəs,"n.目击者,见证人",C:\GTT\EnglishDB\Words\e\eyewitness.md
005083,fab,adj.,fæb,fæb,"adj.\<俚>惊人的,难以置信的",C:\GTT\EnglishDB\Words\f\fab.md
005084,fable,n.,\'feɪb(ə)l,\'febl,"n.寓言,神话,谎言vi.讲故事,编寓言,煞有其事地讲述",C:\GTT\EnglishDB\Words\f\fable.md
005085,fabled,adj.,\'feɪbəld,\'febld,"adj.寓言中的,虚构的",C:\GTT\EnglishDB\Words\f\fabled.md
005086,fabric,n.,\'fæbrɪk,\'fæbrɪk,"n.织品,织物,布,结构,建筑物,构造",C:\GTT\EnglishDB\Words\f\fabric.md
005087,fabricate,vt.,\'fæbrɪkeɪt,\'fæbrɪket,"vt.制作,构成,捏造,伪造,虚构",C:\GTT\EnglishDB\Words\f\fabricate.md
005088,fabrication,n.,fæbrɪ\'keɪʃ(ə)n,fæbrəˈkeʃən,"n.制作,构成,伪造物,装配工",C:\GTT\EnglishDB\Words\f\fabrication.md
005089,fabulous,adj.,\'fæbjʊləs,\'fæbjələs,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的",C:\GTT\EnglishDB\Words\f\fabulous.md
005090,facade,n.,fə\'sɑːd,fə\'sɑd,n.正面,C:\GTT\EnglishDB\Words\f\facade.md
005091,face,n.,feɪs,fes,"n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向",C:\GTT\EnglishDB\Words\f\face.md
005092,faceless,adj.,\'feɪslɪs,\'fesləs,"adj.姓名不祥的,不露面",C:\GTT\EnglishDB\Words\f\faceless.md
005093,facet,n.,\'fæsɪt; -et,\'fæsɪt,"n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面vt.在\...上刻画",C:\GTT\EnglishDB\Words\f\facet.md
005094,facial,adj.,\'feɪʃ(ə)l,\'feʃl,adj.面部的,C:\GTT\EnglishDB\Words\f\facial.md
005095,facilitate,vt.,fə\'sɪlɪteɪt,fə\'sɪlə\'tet,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进",C:\GTT\EnglishDB\Words\f\facilitate.md
005096,facility,n.,fə\'sɪləti,fə\'sɪləti,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具",C:\GTT\EnglishDB\Words\f\facility.md
005097,facsimile,n.,fæk\'sɪmɪlɪ,fæk\'sɪməli,"n.摹写,传真",C:\GTT\EnglishDB\Words\f\facsimile.md
005098,fact,n.,fækt,fækt,"n.事实,实际,实情,真相,(犯罪)行为,论据",C:\GTT\EnglishDB\Words\f\fact.md
005099,faction,n.,\'fækʃ(ə)n,\'fækʃən,"n.派别,小集团,派系斗争,小派系,内讧",C:\GTT\EnglishDB\Words\f\faction.md
005100,factor,n.,\'fæktə,\'fæktɚ,"n.因素,要素,因数,代理人",C:\GTT\EnglishDB\Words\f\factor.md
005101,factory,n.,\'fækt(ə)rɪ,ˈfæktəri,"n.工厂,制造厂,商住花园外的代理",C:\GTT\EnglishDB\Words\f\factory.md
005102,factual,adj.,\'fæktʃʊəl; -tjʊəl,\'fæktʃuəl,"adj.事实的,实际的",C:\GTT\EnglishDB\Words\f\factual.md
005103,faculty,n.,\'fæk(ə)ltɪ,ˈfækəlti,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力",C:\GTT\EnglishDB\Words\f\faculty.md
005104,fad,n.,fæd,fæd,"n.时尚,一时流行的狂热,一时的爱好",C:\GTT\EnglishDB\Words\f\fad.md
005105,fade,vi.,feɪd,fed,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的",C:\GTT\EnglishDB\Words\f\fade.md
005106,faded,adj.,\'feɪdɪd,\'fedɪd,"adj.已褪色的,已凋谢的",C:\GTT\EnglishDB\Words\f\faded.md
005107,fading,n.,\'feɪdɪŋ,\'fedɪŋ,"n.褪色,枯萎,衰退",C:\GTT\EnglishDB\Words\f\fading.md
005108,fail,vi.,feɪl,fel,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者",C:\GTT\EnglishDB\Words\f\fail.md
005109,failing,n.,\'feɪlɪŋ,\'felɪŋ,"n.失败,缺点,弱点,过失 prep.如果没有\... adj.失败的",C:\GTT\EnglishDB\Words\f\failing.md
005110,failure,n.,\'feɪljə,\'feljɚ,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,\<美>不及格",C:\GTT\EnglishDB\Words\f\failure.md
005111,faint,n.,feɪnt,fent,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力",C:\GTT\EnglishDB\Words\f\faint.md
005112,faintly,adv.,\'feɪntlɪ,\'fentli,"adv.微弱地,朦胧地,模糊地",C:\GTT\EnglishDB\Words\f\faintly.md
005113,fair,adj.,feə,fɛr,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴",C:\GTT\EnglishDB\Words\f\fair.md
005114,fairly,adv.,\'feəlɪ,\'fɛrli,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地",C:\GTT\EnglishDB\Words\f\fairly.md
005115,fairness,n.,\'feənɪs,\'fɛrnəs,"n.公平,正直,美好,明亮,清晰,适当,顺利性",C:\GTT\EnglishDB\Words\f\fairness.md
005116,fairway,n.,\'feəweɪ,\'fɛrwe,"n.航路,[空]水上飞机升降用的水面跑道",C:\GTT\EnglishDB\Words\f\fairway.md
005117,fairy,n.,\'feərɪ,\'fɛri,"n.仙女,精灵,\<美俚>漂亮姑娘adj.仙女的",C:\GTT\EnglishDB\Words\f\fairy.md
005118,faith,n.,feɪθ,feθ,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定",C:\GTT\EnglishDB\Words\f\faith.md
005119,faithful,adj.,\'feɪθfʊl; -f(ə)l,\'feθfəl,"adj.守信的,忠实的,详确的,可靠的n.信徒",C:\GTT\EnglishDB\Words\f\faithful.md
005120,faithfully,adv.,\'feɪθfʊlɪ; -f(ə)lɪ,\'feθfəli,"adv.忠诚地,如实地,切实遵守地",C:\GTT\EnglishDB\Words\f\faithfully.md
005121,fake,n.,feɪk,feɪk,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装",C:\GTT\EnglishDB\Words\f\fake.md
005122,falcon,n.,\'fɔː(l)k(ə)n; \'fɒlk(ə)n,\'fælkən,n.[动](猎鸟用的)猎鹰,C:\GTT\EnglishDB\Words\f\falcon.md
005123,fall,n.,fɔːl,fɔl,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.\<美>\<英方>击倒,砍倒(树木)adj.秋天的",C:\GTT\EnglishDB\Words\f\fall.md
005124,fallacy,n.,\'fæləsɪ,\'fæləsi,"n.谬误,谬论",C:\GTT\EnglishDB\Words\f\fallacy.md
005125,fallen,adj.,\'fɔːl(ə)n,\'fɔlən,"adj.倒下的,伐倒的,伏地的,堕落的,落下来的,陷落的 vbl.fall 的过去分词",C:\GTT\EnglishDB\Words\f\fallen.md
005126,falling,n.,ˈfɔːlɪŋ,ˈfɔːlɪŋ,"n.落下,坠落,下降,陷落,凹落,(岩石等的)崩塌adj.落下的,下降的",C:\GTT\EnglishDB\Words\f\falling.md
005127,fallout,n.,\'fɔːlaʊt,\'fɔlaʊt,"n.辐射微尘,原子尘,附带结果",C:\GTT\EnglishDB\Words\f\fallout.md
005128,fallow,n.,\'fæləʊ,\'fælo,"n.休耕地adj.[农]休耕的,未孕的,潜伏发,不活跃的vt.使(土地)休闲,休整,潜伏(指潜在的特征等)",C:\GTT\EnglishDB\Words\f\fallow.md
005129,FALSE,adj.,fɔːls; fɒls,fɔls,"adj.错误的,虚伪的,假的,无信义的,伪造的,人工的,不老实的adv.欺诈地",C:\GTT\EnglishDB\Words\f\false.md
005130,falsehood,n.,\'fɔːlshʊd; \'fɒls-,\'fɔlshʊd,"n.谬误,不真实,谎言,虚假",C:\GTT\EnglishDB\Words\f\falsehood.md
005131,falsely,adv.,ˈfɔːlsli,ˈfɔlsli,"adv.虚伪地,不实地,错误地",C:\GTT\EnglishDB\Words\f\falsely.md
005132,falsify,v.,\'fɔːlsɪfaɪ; \'fɒls-,\'fɔlsɪfaɪ,v.伪造,C:\GTT\EnglishDB\Words\f\falsify.md
005133,falter,vt.,\'fɔːltə; \'fɒl-,\'fɔltɚ,"vt.支吾地说,结巴地讲出vi.支吾,蹒跚踉跄,摇摆,(声音)颤抖n.颤抖,支吾,踌躇",C:\GTT\EnglishDB\Words\f\falter.md
005134,faltering,adj.,ˈfɔːltərɪŋ,ˈfɔːltərɪŋ,"adj.犹豫的,支吾的,蹒跚的",C:\GTT\EnglishDB\Words\f\faltering.md
005135,fame,n.,feɪm,fem,"n.名声,名望,传说,\<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传",C:\GTT\EnglishDB\Words\f\fame.md
005136,famed,adj.,feɪmd,feɪmd,"adj.著名的,闻名的",C:\GTT\EnglishDB\Words\f\famed.md
005137,familial,adj.,fə\'mɪljəl,fə\'mɪlɪəl,"adj.家族的,家庭的",C:\GTT\EnglishDB\Words\f\familial.md
005138,familiar,adj.,fə\'mɪlɪə,fə\'mɪljɚ,"adj.熟悉的,常见的,听惯的,亲近的,随便的n.密友,熟客,常客",C:\GTT\EnglishDB\Words\f\familiar.md
005139,familiarity,n.,fəmɪlɪ\'ærɪtɪ,"fə,mɪlɪ\'ærəti","n.熟悉,通晓,亲密,熟悉,精通",C:\GTT\EnglishDB\Words\f\familiarity.md
005140,familiarize,v.,fə\'mɪlɪəraɪz,fə\'mɪlɪəraɪz,v.熟悉,C:\GTT\EnglishDB\Words\f\familiarize.md
005141,family,n.,ˈfæməlɪ,ˈfæməlɪ,"n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的",C:\GTT\EnglishDB\Words\f\family.md
005142,famine,n.,\'fæmɪn,\'fæmɪn,"n.饥荒,\<古>饥饿,严重的缺乏",C:\GTT\EnglishDB\Words\f\famine.md
005143,famous,adj.,\'feɪməs,\'feməs,"adj.著名的,出名的,\<口>极好的,令人满意的",C:\GTT\EnglishDB\Words\f\famous.md
005144,famously,adv.,ˈfeɪməsli,ˈfeɪməsli,"adv.著名地,\<口> 极好地",C:\GTT\EnglishDB\Words\f\famously.md
005145,fan,n.,fæn,fæn,"n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开",C:\GTT\EnglishDB\Words\f\fan.md
005146,fanatic,n.,fə\'nætɪk,fə\'nætɪk,"n.狂热者,盲信者,入迷者adj.狂热的,盲信的",C:\GTT\EnglishDB\Words\f\fanatic.md
005147,fanatical,adj.,fəˈnætɪkl,fəˈnætɪkl,"adj.狂热的,盲信的",C:\GTT\EnglishDB\Words\f\fanatical.md
005148,fanaticism,n.,fə\'nætɪsɪz(ə)m,fə\'nætɪsɪzəm,"n.狂热,盲信",C:\GTT\EnglishDB\Words\f\fanaticism.md
005149,fanciful,adj.,\'fænsɪfʊl; -f(ə)l,\'fænsɪfl,"adj.爱空想的,奇怪的,稀奇的,想像的",C:\GTT\EnglishDB\Words\f\fanciful.md
005150,fancy,adj.,\'fænsɪ,\'fænsi,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力",C:\GTT\EnglishDB\Words\f\fancy.md
005151,fanfare,n.,\'fænfeə,\'fæn\'fɛr,"n.喇叭或号角嘹亮的吹奏声,吹牛",C:\GTT\EnglishDB\Words\f\fanfare.md
005152,fang,n.,fæŋ,fæŋ,"n.(犬,狼等的)尖牙,犬牙,(毒蛇的)毒牙,牙根,尖端vt.灌水引动(水泵)",C:\GTT\EnglishDB\Words\f\fang.md
005153,fantasize,v.,\'fæntəsaɪz,\'fæntəsaɪz,"v.梦想,幻想",C:\GTT\EnglishDB\Words\f\fantasize.md
005154,fantastic,adj.,fæn\'tæstɪk,fæn\'tæstɪk,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的",C:\GTT\EnglishDB\Words\f\fantastic.md
005155,fantasy,n.,\'fæntəsɪ; -zɪ,\'fæntəsi,"n.幻想,白日梦",C:\GTT\EnglishDB\Words\f\fantasy.md
005156,far,adj.,fɑː,fɑr,"adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方",C:\GTT\EnglishDB\Words\f\far.md
005157,faraway,adj.,\'fɑːrəweɪ; fɑːrə\'weɪ,\'fɑrəwe,"adj.遥远的,久远的,恍惚的,出神的,朦胧的",C:\GTT\EnglishDB\Words\f\faraway.md
005158,farce,n.,fɑːs,fɑrs,"n.笑剧,闹剧,滑稽剧,胡闹vt.\<古>填塞,为(演讲,作品等)加穿插",C:\GTT\EnglishDB\Words\f\farce.md
005159,fare,n.,feə,fɛr,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活",C:\GTT\EnglishDB\Words\f\fare.md
005160,farewell,n.,feə\'wel,",fɛr\'wɛl","n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)",C:\GTT\EnglishDB\Words\f\farewell.md
005161,farm,n.,fɑːm,fɑrm,"n.农场,农庄,农田vt.耕种vi.种田,务农,经营农场,从事畜牧",C:\GTT\EnglishDB\Words\f\farm.md
005162,farmer,n.,\'fɑːmə,\'fɑmɚ,"n.农夫,百姓,农民,农场主,承包主,牧场主,畜牧者",C:\GTT\EnglishDB\Words\f\farmer.md
005163,farmhouse,n.,\'fɑːmhaʊs,\'fɑrm\'haʊs,"n.农场里的住房,农舍,农家",C:\GTT\EnglishDB\Words\f\farmhouse.md
005164,farming,n.,\'fɑːmɪŋ,\'fɑrmɪŋ,"n.耕作,农业,农事,畜牧",C:\GTT\EnglishDB\Words\f\farming.md
005165,farmland,n.,\'fɑːmlænd,\'fɑrmlænd,n.农田,C:\GTT\EnglishDB\Words\f\farmland.md
005166,fart,n.,fɑːt,fɑːrt,n.\<俗>屁vi.放屁,C:\GTT\EnglishDB\Words\f\fart.md
005167,fascinate,vt.,\'fæsɪneɪt,\'fæsə\'net,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的",C:\GTT\EnglishDB\Words\f\fascinate.md
005168,fascinating,adj.,\'fæsɪneɪtɪŋ,\'fæsɪnetɪŋ,"adj.迷人的,醉人的,着魔的",C:\GTT\EnglishDB\Words\f\fascinating.md
005169,fascination,n.,",fæsɪ\'neɪʃ(ə)n",",fæsɪ\'neʃən","n.魔力,入迷,魅力,迷恋,强烈爱好",C:\GTT\EnglishDB\Words\f\fascination.md
005170,fascism,n.,\'fæʃɪz(ə)m; -sɪz(ə)m,\'fæ\'ʃɪzəm,"n.法西斯主义,极端的国家主义",C:\GTT\EnglishDB\Words\f\fascism.md
005171,fascist,n.,\'fæʃɪst,\'fæʃɪst,"n.法西斯主义者,法西斯党员adj.法西斯主义的,法西斯党的",C:\GTT\EnglishDB\Words\f\fascist.md
005172,fashion,n.,\'fæʃ(ə)n,\'fæʃən,"n.样子,方式,流行,风尚,时样vt.形成,造,作,把\...塑造成,使适应,使适合,改革,改变",C:\GTT\EnglishDB\Words\f\fashion.md
005173,fashionable,adj.,\'fæʃ(ə)nəb(ə)l,\'fæʃnəbl,"adj.流行的,时髦的",C:\GTT\EnglishDB\Words\f\fashionable.md
005174,fast,adj.,fɑːst,fæst,"adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒",C:\GTT\EnglishDB\Words\f\fast.md
005175,fastball,n.,ˈfɑːstbɔːl,ˈfæstbɔːl,n.[棒](投手投出的)快球,C:\GTT\EnglishDB\Words\f\fastball.md
005176,fasten,vt.,\'fɑːs(ə)n,\'fæsən,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住",C:\GTT\EnglishDB\Words\f\fasten.md
005177,fastener,n.,\'fɑːsənə,\'fæsnɚ,"n.扣件,纽扣,按钮,使系牢之物",C:\GTT\EnglishDB\Words\f\fastener.md
005178,faster,adj.,fɑ:stə(r),\'fastə,"adj.更快的,adv.更快地",C:\GTT\EnglishDB\Words\f\faster.md
005179,fat,n.,fæt,fæt,"n.脂肪,肥肉;adj.肥大的,丰满的,肥的,胖的,油腻的;vt.养肥,在\...中加入脂肪;vi.长肥;File Allocation Table,文件分配表",C:\GTT\EnglishDB\Words\f\fat.md
005180,fatal,adj.,\'feɪt(ə)l,\'fetl,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的",C:\GTT\EnglishDB\Words\f\fatal.md
005181,fatality,n.,fə\'tælɪtɪ; feɪ-,fə\'tæləti,"n.命运决定的事物,不幸,灾祸,天命",C:\GTT\EnglishDB\Words\f\fatality.md
005182,fatally,adv.,\'feɪtəli,\'feɪtəli,"adv.致命地,宿命地,不幸地",C:\GTT\EnglishDB\Words\f\fatally.md
