id,word,story
003593,delegation,"> A company needed to solve a big problem. The boss couldn\'t do it alone, so he chose a delegation of smart workers. They went to handle the task and finally succeeded. The delegation saved the day! **一家公司需要解决一个大问题。老板无法独自完成，于是挑选了一个代表团，由聪明的员工组成。他们去处理任务，最终成功了。这个代表团挽救了局面！**"
003594,delete,> 想象一下，你有一本装满错误信息的魔法日记。每次你发现错误，就会喊出\'delete\'，然后错误的内容就像烟雾一样消失不见。这个词就是让东西消失、抹去的意思。 **想象你有本充满错误信息的魔法日记，每次喊出\'delete\'，错误内容就消失，这个词意为消失、抹去。**
003595,deleterious,> 想象一个邪恶的巫师，他有一瓶神秘的药水，上面标着\'deleterious\'。任何人喝下这药水都会受到伤害，身体变差。所以\'deleterious\'就是有害的、有毒的意思。 **想象一个邪恶巫师的药水，表明\'deleterious\'意为有害的、有毒的**
003596,deliberate,"> A detective was trying to solve a mystery. He needed to deliberate carefully. He sat in a quiet room, thinking step by step, to make the right decision. Finally, he found the key clue. **一位侦探正在试图解开一个谜团。他需要仔细地思考。他坐在一个安静的房间里，一步一步地思考，以做出正确的决定。最后，他找到了关键线索。**"
003597,deliberately,> A detective was trying to solve a mystery. The suspect deliberately left clues to mislead him. But the detective was smart and saw through the deception. He knew the suspect did it on purpose. **一位侦探正在试图解开一个谜团。嫌疑人故意留下线索来误导他。但侦探很聪明，看穿了这个骗局。他知道嫌疑人是有意为之。**
003598,deliberation,> A king sat in his throne room for hours in deliberation. He needed to decide whether to go to war or find a peaceful solution. His face showed the deep thought and careful consideration that is \'deliberation\'. **一位国王在王座室里坐了几个小时深思熟虑。他需要决定是开战还是寻求和平解决方案。他的表情展现出的深度思考和谨慎考虑就是'深思熟虑'。**
003599,delicacy,"> A princess was invited to a grand feast. Among the many dishes, there was a special one called \'delicacy\'. It was so rare and fine that it was served with great care. The princess loved it and always remembered its taste. **一位公主被邀请参加一场盛大的宴会。在众多菜肴中，有一道特别的菜叫做""美味佳肴""。它非常稀有精致，上菜时小心翼翼。公主很喜欢它，并一直记得它的味道。**"
003600,delicate,"> A princess wore a delicate dress to the ball. But she had to be very careful as it was easily torn. The dress was so fine and needed gentle handling, just like the word \'delicate\' means fragile and needing careful treatment. **一位公主穿着一件精致的裙子去参加舞会。但她必须非常小心，因为它很容易被撕破。这条裙子如此精美，需要轻柔对待，就像'delicate'这个单词意味着脆弱的、需要小心处理的。**"
003601,delicately,"> A fairy was walking delicately on a flower petal. Her every step was light and gentle, as if she was afraid to hurt the beautiful petal. This shows how \'delicately\' means with great care and in a fine, gentle way. **一位仙女正小心翼翼地走在花瓣上。她的每一步都轻盈而温柔，仿佛害怕伤害这美丽的花瓣。这展示了\'delicately\'意思是以非常小心、精细和温柔的方式。**"
003602,delicious,"> One day, I was extremely hungry. When I tasted a piece of cake, it was so wonderful that I shouted \'delicious!\' The cake was soft and sweet, making me feel happy and satisfied. **有一天，我非常饿。当我品尝了一块蛋糕，它是如此美妙，以至于我大喊'美味！'这个蛋糕又软又甜，让我感到开心和满足。**"
003603,deliciously,"> A hungry traveler was lost in a forest. When he found a small cottage, the hostess served him a meal. He tasted it and exclaimed, \'This food is deliciously prepared!\' meaning the food was extremely tasty and well-made. **一位饥饿的旅行者在森林里迷路了。当他找到一间小屋时，女主人为他准备了一顿饭。他尝了尝，惊呼道：'这饭菜做得美味极了！' 这里的deliciously表示极其美味地、可口地。**"
003604,delight,"> A little girl was lost in a forest. When she found her way home, her parents\' smiles and hugs filled her with delight. The feeling of being safe and loved was just wonderful. **一个小女孩在森林里迷路了。当她找到回家的路时，父母的微笑和拥抱让她满心欢喜。那种安全和被爱的感觉真是太棒了。**"
003605,delighted,"> One day, I received a surprise gift. It was exactly what I wanted. I was so delighted that my face lit up with joy. I felt like I was in a wonderful dream. **有一天，我收到了一份惊喜礼物。它正是我想要的。我高兴极了，脸上洋溢着喜悦。我感觉自己像在一个美妙的梦里。**"
003606,delightful,"> One sunny day, I went to a garden full of colorful flowers. The smell and the view were delightful. It made me feel so happy and relaxed, as if all my worries disappeared. **在一个阳光明媚的日子，我去了一个满是五颜六色花朵的花园。那花香和景色令人愉快。它让我感到非常开心和放松，仿佛我所有的烦恼都消失了。**"
003607,delineate,"> A detective was trying to delineate the criminal\'s escape route. He carefully marked and described every step, just like we need to clearly define and describe something when we use \'delineate\'. **一位侦探试图描绘罪犯的逃跑路线。他仔细地标记和描述每一步，就像我们使用\'delineate\'这个词时需要清晰地界定和描述某事一样。**"
003608,delinquency,"> A young boy named Tom often skipped school and got into trouble, stealing candies from stores. His behavior was called delinquency. His parents were worried and decided to teach him right from wrong to stop this bad behavior. **一个叫汤姆的小男孩经常逃学，还从商店偷糖果，他的这种行为被称为犯罪行为。他的父母很担心，决定教导他明辨是非，以阻止这种不良行为。**"
003609,delinquent,"> A young boy was often delinquent, skipping school and causing trouble. One day, he realized his mistakes and decided to change. From then on, he studied hard and became a good student. Remember, delinquent means someone who behaves wrongly or breaks the law. **一个小男孩经常行为不良，逃学并惹麻烦。有一天，他意识到自己的错误并决定改变。从此，他努力学习，成为了一名好学生。记住，delinquent 指的是行为不当或违法的人。**"
003610,delirious,"> A man was lost in the forest for days. Without food and water, he became delirious. He saw strange visions and talked nonsense. Finally, he was rescued. Remember, \'delirious\' means not in a sane state of mind. **一个男人在森林里迷路了好几天。没有食物和水，他变得神志不清。他看到奇怪的幻觉，胡言乱语。最后，他获救了。记住，\'delirious\'意思是精神不正常的。**"
003611,deliver,"> A postman was determined to deliver letters accurately. Despite the bad weather, he bravely went on his way. Finally, he delivered all the letters to the right addresses. **一位邮递员决心准确投递信件。尽管天气恶劣，他仍勇敢前行。最终，他把所有信件都投递到了正确的地址。**"
003612,deliverance,"> A brave knight was on a quest to bring deliverance to a village oppressed by a dark wizard. After a fierce battle, the knight defeated the wizard, delivering the villagers from fear and tyranny. **一位勇敢的骑士踏上征程，为一个被黑暗巫师压迫的村庄带来解脱。经过一场激烈的战斗，骑士打败了巫师，使村民们摆脱了恐惧和暴政。**"
003613,delivery,"> A pregnant woman was anxiously waiting for the delivery of her baby. The doctor and nurses worked hard, and finally, the safe delivery happened. It was a moment of joy and relief. **一位孕妇焦急地等待着宝宝的分娩。医生和护士们努力工作，最终，宝宝平安出生了。这是一个充满喜悦和宽慰的时刻。**"
003614,delta,> 想象一下，探险家在一片神秘的土地上冒险，他发现了一个形状像三角形的肥沃区域，那里水源丰富。人们把这个独特的三角形地带称为\'delta\'。 **想象一下，探险家在一片神秘的土地上冒险，他发现了一个像三角形的肥沃区域，人们把这个地带称为'三角洲'。**
003615,delude,"> A man was constantly deluded by a con artist who promised him huge wealth. But in the end, he realized he was tricked and had wasted a lot of time and money. The man learned a hard lesson about not being deluded by false promises. **一个男人不断被一个骗子哄骗，骗子承诺给他巨额财富。但最后，他意识到自己被骗了，浪费了大量时间和金钱。这个男人深刻地认识到不要被虚假的承诺所迷惑。**"
003616,deluge,"> A village was hit by a deluge. The rain poured down non-stop, flooding the fields and houses. People had to use boats to move around. It was a disaster like a huge wave of water. **一个村庄遭遇了一场大洪水。雨不停地下，淹没了田野和房屋。人们不得不乘船出行。这就像是一波巨大的水浪，是一场灾难。**"
003617,delusion,"> A man always believed he could fly like a bird. He jumped off a building, thinking it was possible. This was a clear delusion. Poor him! His false belief led to a tragic end. **一个男人总是认为自己能像鸟一样飞。他从一栋大楼上跳了下去，觉得这是可行的。这显然是一种错觉。可怜的他！他的错误信念导致了悲惨的结局。**"
003618,deluxe,> 想象你在一家豪华酒店，房间布置精美，设施齐全，这就是\'deluxe\'的体验。你享受着顶级的服务，仿佛置身于奢华的世界。这个酒店的一切都代表着\'deluxe\'------豪华的、高级的。 **想象在豪华酒店的情景来记住\'deluxe\'表示豪华的、高级的意思**
003619,delve,"> A curious detective named Delve was always determined to dig deep into cases. He would delve into every clue, no matter how hidden, to solve the mystery. Just like him, \'delve\' means to dig or investigate deeply. **一位名叫德尔夫的好奇侦探总是决心深入调查案件。他会深入研究每一条线索，无论多么隐蔽。就像他一样，'delve'这个单词意思是深入探究或钻研。**"
003620,demand,"> A customer angrily DEMANDS a refund at the store. The clerk tries to calm the customer down, realizing that meeting this DEMAND is crucial to keeping the business\'s reputation. **一位顾客在商店里愤怒地要求退款。店员试图让顾客冷静下来，意识到满足这个要求对维护店铺的声誉至关重要。**"
003621,demanding,"> A demanding boss always expected his employees to finish tasks perfectly and quickly. One day, a new employee managed to meet all his demands and got praised. \'Demanding\' means making a lot of claims or requiring a lot. **一位苛刻的老板总是期望他的员工完美且快速地完成任务。有一天，一位新员工成功满足了他所有的要求并得到了称赞。\'demanding\'意思是提出很多要求或需要很多。**"
003622,demean,"> A young man always acted rudely and carelessly, which demeaned his image in the eyes of others. People thought he had no good manners. Later, he realized his mistake and changed. **一个年轻人总是举止粗鲁、漫不经心，这贬低了他在别人眼中的形象。人们认为他没有良好的举止。后来，他意识到了自己的错误并做出了改变。**"
003623,demeanor,> A young artist was invited to a grand party. His calm and confident demeanor made him stand out. He didn\'t panic but showed grace and poise. People were impressed by his demeanor. **一位年轻的艺术家被邀请参加一个盛大的聚会。他冷静且自信的举止使他脱颖而出。他没有惊慌，而是展现出优雅和沉着。人们对他的举止印象深刻。**
003624,demented,"> A scientist was working on a secret project. Long hours and high pressure made him demented. He started imagining crazy things and behaving strangely. Remember, \'demented\' means crazy or insane. **一位科学家正在从事一个秘密项目。长时间的工作和巨大的压力使他精神错乱。他开始想象疯狂的事情，行为也变得怪异。记住，\'demented\'意思是疯狂的或精神错乱的。**"
003625,dementia,"> A king was once very wise, but as time passed, his mind started to change. He forgot things easily and acted strangely. This was called \'dementia\', a condition that makes one\'s mind not work properly. **曾经有一位国王非常睿智，但随着时间的流逝，他的心智开始改变。他很容易忘事，行为也变得古怪。这种情况被称为""痴呆症""，即一种使人心智无法正常运作的病症。**"
003626,demise,> 国王的健康状况每况愈下，最终迎来了 demise。整个王国都陷入了悲伤，因为他们知道这意味着一个时代的结束。demise 就像国王生命的落幕，象征着死亡、终止。 **国王身体越来越差最终死亡，整个王国都很悲伤，demise 就像国王生命的结束，象征着死亡、终止。**
003627,demo,> A musician was invited to a demo session. He played beautifully and everyone was impressed. \'Demo\' here means a demonstration or a sample performance. **一位音乐家受邀参加一场演示会。他演奏得十分出色，所有人都印象深刻。这里的\'demo\'指的是演示或样本表演。**
003628,democracy,"> In a distant land, people had the power to choose their leaders. They spoke freely, shared ideas, and made decisions together. This was democracy, where everyone\'s voice mattered. **在一个遥远的地方，人们有权选择他们的领导人。他们自由发言，分享想法，并共同做决定。这就是民主，在这里每个人的声音都很重要。**"
003629,democratic,"> In a faraway land, people had the power to choose their leaders. This was because the country was democratic. Everyone\'s voice mattered, and decisions were made for the common good. It was a land of fairness and equality. **在一个遥远的国度，人们有权选择他们的领导人。这是因为这个国家是民主的。每个人的声音都很重要，决策是为了共同的利益。这是一个公平和平等的国度。**"
003630,democratically,"> In a faraway land, people made decisions Democratically. They listened to each other, shared ideas, and voted fairly. This way, everyone\'s voice was heard and respected, making their community thrive and happy. **在一个遥远的地方，人们以民主的方式做决策。他们相互倾听，分享想法，公平投票。这样，每个人的声音都被听到和尊重，使他们的社区繁荣且快乐。**"
003631,democratization,"> A small kingdom was ruled by a dictator. But the people fought hard for change. Eventually, they achieved democratization. Everyone had a say in how the country was run. **一个小王国被独裁者统治着。但人民为了改变而努力斗争。最终，他们实现了民主化。每个人对国家如何管理都有发言权。**"
003632,democratize,"> In a kingdom ruled by a tyrant, a brave group emerged. They fought to democratize the land, giving the power to the people. Everyone could vote and have a say. Finally, the kingdom became a place of fairness and freedom. **在一个被暴君统治的王国里，出现了一群勇敢的人。他们努力使这个国家民主化，把权力交给人民。每个人都能投票并发表意见。最终，这个王国变成了一个公平自由的地方。**"
003633,demographer,> 想象一下，有个神秘的人叫德莫（demo），他专门研究人口（grapher）的各种情况，比如数量、分布等。这个人就是 demographer（人口统计学家），他的工作就是搞清楚人口的秘密。 **想象有个叫德莫的人专门研究人口情况，这个人就是人口统计学家，他的工作是搞清楚人口的秘密。**
003634,demographic,"> Imagine a group of detectives trying to solve a mystery. They need to know all about the people involved - their age, gender, etc. This information is called \'demographic\'. It helps them understand and solve the case. **想象一群侦探试图解开一个谜团。他们需要了解所有相关人员的情况 - 年龄、性别等。这些信息被称为""人口统计特征""。它帮助他们理解并解决案件。**"
003635,demolish,"> A powerful giant was ordered to demolish an old castle. With great strength, he smashed the walls and towers. The act of destroying the castle completely is like the meaning of \'demolish\'. **一个强大的巨人被命令拆除一座古老的城堡。他用巨大的力量打碎了墙壁和塔楼。这种完全摧毁城堡的行为就像\'demolish\'的意思。**"
003636,demolition,"> A crazy scientist was planning the demolition of an old castle. But the villagers stopped him, saying it was a part of their history. Demolition means the act of destroying something, especially a building. **一位疯狂的科学家计划拆除一座古老的城堡。但村民们阻止了他，称这是他们历史的一部分。demolition 意思是拆除某物的行为，尤指建筑物。**"
003637,demon,> 在一个黑暗的森林里，有一只可怕的怪物，它被称为 demon。它有着锋利的爪子和邪恶的眼睛，总是在夜晚出来吓人。勇敢的骑士决心除掉它，保护村民。 **在一个黑暗的森林中，有一只被称作恶魔的可怕怪物。它有锋利爪子和邪恶眼睛，总在夜出吓人，勇敢的骑士决心除掉它保护村民。**
003638,demonic,"> A brave knight was on a quest. In a dark cave, he encountered a demonic monster with red eyes and sharp teeth. The monster was very powerful, but the knight finally defeated it with his courage and skills. **一位勇敢的骑士正在执行任务。在一个黑暗的洞穴里，他遇到了一只恶魔般的怪物，有着红色的眼睛和锋利的牙齿。这只怪物非常强大，但骑士最终凭借他的勇气和技能打败了它。**"
003639,demonize,"> A brave knight was falsely accused of being evil. The king\'s advisers tried to demonize him by spreading lies. But the truth prevailed and the knight\'s honor was restored. Remember, \'demonize\' means to represent as evil or bad. **一位勇敢的骑士被诬告为邪恶。国王的顾问们试图通过散布谎言来将他妖魔化。但最终真相大白，骑士的荣誉得以恢复。记住，'demonize'意思是把...描绘成魔鬼；把...描述成恶魔；将...妖魔化**"
003640,demonstrate,> A group of students were asked to demonstrate how to solve a math problem. They stood in front of the class and showed the steps clearly. It was a great demonstration of their knowledge. **一群学生被要求展示如何解决一道数学题。他们站在全班同学面前，清晰地展示了步骤。这是他们知识的一次很棒的展示。**
003641,demonstration,> A group of students held a demonstration in the square. They were protesting against the new school rules. They shouted loudly and waved banners to show their dissatisfaction. This was a powerful demonstration. **一群学生在广场举行了一场示威活动。他们抗议新的校规。他们大声呼喊并挥舞横幅来表明他们的不满。这是一场强有力的示威。**
003642,demonstrator,"> A group of people were protesting in the street. One passionate individual stood out as the demonstrator. He held a sign high, clearly showing his demands and leading others to voice their concerns. **一群人在街上抗议。有一个充满激情的人作为示威者脱颖而出。他高举着一个牌子，清楚地展示着他的要求，并带领其他人表达他们的担忧。**"
003643,demoralize,"> A group of soldiers were trapped in a dark cave. The lack of food and water, along with constant fear, demoralized them. They lost their confidence and spirit. Eventually, they were rescued but the experience was unforgettable. **一群士兵被困在一个黑暗的洞穴里。食物和水的缺乏，加上持续的恐惧，使他们士气低落。他们失去了信心和斗志。最终，他们获救了，但这次经历令人难以忘怀。**"
003644,demote,> 想象一个公司里，有个叫 Tom 的经理，因为犯了大错，被高层从重要职位降级。这个'降级'的行为就是 demote。可怜的 Tom 被 demote 后，工作变得更艰难了。 **想象一个关于'demote（降级）'这个单词的故事，一位叫 Tom 的经理因犯错被降级，工作更艰难。**
003645,den,> 想象一下，在森林深处有一个神秘的洞穴，那就是\'den\'。一只小熊把这个洞穴当作它温暖又安全的家，它在里面躲避风雨，睡觉休息。这个洞穴就是小熊的专属空间。 **想象在森林里有个洞穴，小熊把它当作家，用来躲避风雨和休息，以此来记住 den 这个单词意为洞穴、兽穴**
003646,denial,"> A thief was caught stealing, but he kept insisting it wasn\'t him. His stubborn insistence was a clear denial of the truth. Eventually, the evidence proved his guilt. **一个小偷被抓到偷东西，但他一直坚称不是他。他这种顽固的坚持显然是对真相的否认。最终，证据证明了他的罪行。**"
003647,denigrate,"> A painter was angry when someone denigrated his masterpiece. He shouted, \'You can\'t just badmouth my work like this!\' Remember, when someone denigrates, they speak ill or belittle. **一位画家很生气有人诋毁他的杰作。他大喊：""你不能这样贬低我的作品！""记住，当有人denigrate，就是说坏话或贬低。**"
003648,denim,> 想象一下，一个牛仔在沙漠中迷路了，又饿又渴。突然，他发现了一块神奇的布料，用它做了衣服，最终走出沙漠。这种神奇的布料就是\'denim\'（牛仔布），坚韧耐用，成为了牛仔的救星。 **想象一个牛仔在沙漠中因发现牛仔布而获救的故事来辅助记忆\'denim（牛仔布）\'这个单词**
003649,denizen,> 想象一个神秘的森林，里面住着各种奇特的生物。其中有一种小精灵，它被称为森林的 denizen。它熟悉森林的每一个角落，与其他生物和谐共处，是这片森林真正的居民。 **想象在一个神秘森林中，有一种被称为森林居民的小精灵，它熟悉森林的一切，与其他生物和谐相处，以此来记住 denizen 有居民、常客的意思。**
003650,denomination,"> A traveler was lost in a foreign country. He needed to exchange money but was confused by the different denominations. Finally, with the help of a kind local, he understood and got the right currency. **一位旅行者在异国他乡迷路了。他需要兑换货币，但被不同的面额搞糊涂了。最后，在一位好心当地人的帮助下，他明白了并换到了正确的货币。**"
003651,denominator,"> A group of friends was dividing pizza. They needed to know the number below the fraction line, the denominator, to share equally. It was like finding the key to fair pizza slices! **一群朋友在分披萨。他们需要知道分数线下的数字，即分母，才能平均分。这就像是找到公平分披萨片的关键！**"
003652,denote,"> A detective was solving a mystery. He found a symbol on a wall that denoted a hidden passage. With this clue, he finally cracked the case. The symbol indicated or pointed to something important, just like \'denote\' means. **一位侦探在破案。他在墙上发现一个符号，这个符号表示着一个隐藏的通道。凭借这个线索，他最终破了案。这个符号指明或指向了重要的东西，就像'denote'的意思一样。**"
003653,denounce,> A brave journalist denounces the corrupt practices of a powerful politician. The word denounce means to publicly condemn or criticize something strongly and openly. Just like the journalist speaking out against the wrongdoings. **一位勇敢的记者公开指责一位有权势的政客的腐败行为。单词 denounce 意思是公开强烈地谴责或批评某事。就像这位记者公开反对错误行为一样。**
003654,dense,> A group of explorers were lost in a forest. The trees were so dense that they could hardly see the sky. It was like a thick wall blocking their way. They struggled to find a path out. **一群探险家在森林里迷路了。树木是如此茂密，他们几乎看不到天空。就像一堵厚厚的墙挡住了他们的路。他们艰难地寻找出路。**
003655,densely,> A group of tourists got lost in a forest. The trees were planted so densely that they could hardly find their way out. It was a real challenge for them. **一群游客在森林里迷路了。树木种植得如此密集，以至于他们几乎找不到出路。这对他们来说是一个真正的挑战。**
003656,density,> Imagine a room filled with balls of different sizes. The number of balls packed closely together in a given space shows the density. More balls mean higher density. Just like how crowded a place is decides its density. **想象一个房间里装满了不同大小的球。在给定空间中紧密堆积在一起的球的数量显示了密度。球越多意味着密度越高。就像一个地方的拥挤程度决定了它的密度。**
003657,dent,"> One day, I accidentally hit a tree with my bike and made a dent on it. I was very upset. But this incident helped me remember the word \'dent\' which means a small hollow in a surface caused by damage. **有一天，我骑自行车不小心撞到了一棵树，在树上弄出了一个凹痕。我非常沮丧。但这个事件帮助我记住了\'dent\'这个单词，它指的是物体表面因受损而出现的小凹陷。**"
003658,dental,"> A little boy had a sweet tooth and ate too many candies. One day, he felt a sharp pain in his teeth. His mom took him to the dental clinic. The dentist fixed his teeth and told him to take care of his dental health. **一个小男孩特别爱吃糖，吃了太多。有一天，他的牙齿剧痛。他妈妈带他去了牙科诊所。牙医给他治好了牙，并告诉他要照顾好牙齿健康。**"
003659,dentist,"> One day, Tom had a terrible toothache. His mom took him to see a person who could fix it - a dentist. The dentist was very kind and fixed Tom\'s tooth quickly. Now Tom knows the dentist is the hero for teeth problems. **一天，汤姆牙疼得厉害。他妈妈带他去见一个能解决问题的人------牙医。牙医非常和蔼，很快就治好了汤姆的牙。现在汤姆知道牙医是解决牙齿问题的英雄。**"
003660,dentistry,"> One day, Tom had a severe toothache. He went to a place called \'Dentistry\'. There, a kind doctor fixed his teeth. Tom learned that dentistry is all about taking care of our teeth. **有一天，汤姆牙疼得厉害。他去了一个叫""牙科诊所""的地方。在那里，一位和蔼的医生治好了他的牙。汤姆了解到牙科就是关于照顾我们牙齿的。**"
003661,denunciation,"> A spy was caught and faced the denunciation of the whole country. People shouted angrily at him for his betrayal. The word denunciation here means the public act of condemning someone strongly. **一名间谍被抓获，并面临全国的谴责。人们愤怒地对他大喊大叫，因为他的背叛。这里""denunciation""这个词意味着强烈谴责某人的公开行为。**"
003662,deny,"> A thief was caught stealing, but he tried to deny it. He said he was just passing by. However, the evidence was clear and he couldn\'t escape the truth. Eventually, he had to admit his crime. **一个小偷在行窃时被抓，但他试图否认。他说他只是路过。然而，证据确凿，他无法逃避真相。最终，他不得不承认罪行。**"
003663,depart,"> A brave astronaut was about to depart for a distant planet. He said goodbye to his friends and family, got into the spaceship, and started his exciting journey. Depart means to leave, to set off. **一位勇敢的宇航员即将启程前往一个遥远的星球。他向朋友和家人道别，进入宇宙飞船，开始了他激动人心的旅程。depart 意思是离开，出发。**"
003664,departed,"> A brave knight departed from his castle to rescue a princess. He rode his horse fast, leaving the familiar place behind. The word \'departed\' means left or set off. **一位勇敢的骑士从他的城堡出发去营救公主。他骑着马快速前行，离开了熟悉的地方。单词\'departed\'意思是离开或出发。**"
003665,department,> 想象一个大公司，有很多不同的区域，其中有一个区域叫 department，这里面的人都在专注做同一件事，比如销售。就像学校里的不同学科部门一样，数学 department、语文 department 等。 **想象一个大公司里有很多叫 department 的区域，人们在里面专注做一类事，就像学校里不同的学科部门。**
003666,departmental,"> Imagine a big company. Each department has its own special tasks and rules. The word \'departmental\' describes things related to these specific departments. Like departmental meetings or departmental policies. **想象一家大公司。每个部门都有自己的特殊任务和规则。""departmental""这个词描述的就是与这些特定部门有关的事物。比如部门会议或部门政策。**"
003667,departure,"> A brave adventurer was at the airport, about to embark on a new journey. The moment he passed through the gate was the departure. It marked the start of an exciting adventure, leaving the familiar behind. **一位勇敢的冒险家在机场，即将踏上新的旅程。他穿过登机口的那一刻就是'departure'。这标志着一场激动人心的冒险开始，离开了熟悉的一切。**"
003668,depend,"> A little boy always depends on his elder sister to help him with homework. One day, his sister was sick and he had to do it alone. Then he learned to be independent. Here, \'depend\' means rely on. **一个小男孩总是依赖他的姐姐帮他做作业。有一天，姐姐生病了，他不得不自己做。然后他学会了独立。这里，\'depend\'意思是依靠。**"
003669,dependable,"> One day, Tom was in trouble. His friends all left, but only Jack stayed and helped him. Jack was so dependable. Tom knew he could always count on Jack in difficult times. **有一天，汤姆遇到了麻烦。他的朋友们都离开了，只有杰克留下来帮助他。杰克是如此可靠。汤姆知道在困难时期他总是可以依靠杰克。**"
003670,dependence,> A little bird was injured and couldn\'t fly. It had to depend on the kindness of a girl for food and care. The bird\'s dependence on the girl taught it the importance of help. **一只小鸟受伤了不能飞。它不得不依赖一个女孩的善良来获取食物和照顾。小鸟对女孩的依赖让它懂得了帮助的重要性。**
003671,dependency,"> A little bird was always dependent on its mother for food. One day, the mother flew away. The bird had to learn to find food by itself, realizing the importance of independence. \'Dependency\' means reliance on others. **一只小鸟总是依赖它的妈妈获取食物。有一天，妈妈飞走了。小鸟不得不自己学会找食物，明白了独立的重要性。'dependency'意思是依赖。**"
003672,dependent,"> A little bird was dependent on its mother for food. It always waited for the mother to bring back worms. But one day, the mother was gone. The little bird had to learn to find food by itself. So, \'dependent\' means relying on others. **一只小鸟依赖它的妈妈获取食物。它总是等着妈妈带回虫子。但有一天，妈妈不见了。小鸟不得不学会自己找食物。所以，'dependent'意思是依赖他人。**"
003673,depict,"> A famous artist was asked to depict a beautiful landscape. He used his brush skillfully and showed everyone the wonderful scene precisely. The word \'depict\' means to represent or show something through a picture, description, etc. **一位著名的艺术家被要求描绘一幅美丽的风景。他熟练地运用画笔，精准地向大家展示了这美妙的景色。单词'depict'意思是通过图画、描述等表现或展示某物。**"
003674,depiction,> A painter was asked to make a depiction of a beautiful garden. He spent days observing every detail and finally created a wonderful work. The painting was a perfect depiction of the garden\'s charm. **一位画家被要求描绘一个美丽的花园。他花了几天时间观察每一个细节，最终创作出了一幅精彩的作品。这幅画完美地描绘了花园的魅力。**
003675,deplete,> 想象一个巨大的水库，人们不停地从中抽水用于灌溉农田。随着时间的推移，水库的水越来越少，最终几乎干涸。这个过程就像单词\'deplete\'所表达的，意为'大量减少；耗尽；使枯竭'。 **想象一个巨大的水库，人们不断抽水导致其几乎干涸，以此体现\'deplete\'（大量减少；耗尽；使枯竭）的含义。**
003676,depletion,> 想象一个美丽的森林，人们不停地砍伐树木。树木越来越少，这就是\'depletion\'（消耗，用尽）。森林资源被过度消耗，最终可能面临枯竭。 **想象一个森林，人们的砍伐导致树木减少，这体现了'消耗，用尽'的意思，即depletion。**
003677,deplorable,"> A king had a deplorable castle. It was in a very bad condition, with broken walls and leaking roofs. Everyone felt sad when they saw it. This made them remember the meaning of \'deplorable\' - extremely bad and deserving strong criticism. **一位国王有一座糟糕透顶的城堡。它状况极差，墙壁破损，屋顶漏水。每个人看到它时都感到难过。这让他们记住了'deplorable'这个词的意思------极其糟糕，应受强烈批评。**"
003678,deplore,"> A king deplored the fact that his people were suffering from a severe famine. He felt deep sadness and regret, vowing to find a solution. Here, \'deplore\' means to express strong disapproval and sorrow. **一位国王对他的子民遭受严重饥荒这一事实感到悲痛。他深感悲伤和遗憾，发誓要找到解决办法。这里，\'deplore\'意思是表示强烈的谴责和悲痛。**"
003679,deploy,> 想象一下，在一场战争中，将军命令士兵们将武器和装备'deploy'（部署）到指定地点，以形成有效的防线来对抗敌人。这一行动决定着战斗的胜负。 **想象在战争中，将军命令士兵把武器和装备部署到指定地点，此行动关乎战斗输赢。**
003680,deport,"> A criminal was caught and deported from the country. He had committed many serious crimes and was no longer welcome. The police took him to the airport and sent him away. Remember, \'deport\' means to force someone to leave a country. **一名罪犯被抓获并被驱逐出境。他犯下了许多严重罪行，不再受欢迎。警察把他带到机场并送走了他。记住，'deport'意思是强迫某人离开一个国家。**"
003681,deportation,> A criminal was facing deportation. He had broken the law and was no longer welcome in the country. The authorities made the decision of deportation to protect the society. **一名罪犯正面临驱逐出境。他触犯了法律，不再受这个国家欢迎。当局做出驱逐出境的决定以保护社会。**
003682,depose,"> A king was depose d by his subjects. They were tired of his bad governance. So, they removed him from the throne. Remember, \'depose\' means to remove from a position of power. **一位国王被他的臣民废黜了。他们厌倦了他的糟糕统治。所以，他们把他从王位上赶了下来。记住，\'depose\'意思是废黜，罢免。**"
003683,deposit,"> A traveler went to the bank and gave the clerk a sum of money. The clerk said, \'This is your deposit.\' The traveler knew that the money was safely kept for later use. **一位旅行者去银行给了柜员一笔钱。柜员说：'这是您的存款。'旅行者知道这笔钱被安全地保管起来以供日后使用。**"
003684,deposition,"> A king was accused of wrongdoings, and there was a deposition process. Witnesses came to give evidence to prove his misdeeds. Finally, the truth was revealed through this deposition. **一位国王被指控有不当行为，于是有了一个作证的过程。证人前来提供证据以证明他的过错。最终，通过这个作证程序真相大白。**"
003685,depositor,"> One day, Tom went to the bank and became a depositor. He put his savings in the bank carefully. The bank staff were friendly and helped him complete the deposit process. Now Tom knew he was a depositor and his money was safe. **有一天，汤姆去了银行并成为了一名储户。他小心翼翼地把自己的积蓄存进银行。银行工作人员很友好，帮助他完成了存款流程。现在汤姆知道自己是个储户，他的钱很安全。**"
003686,depot,> 想象一下，在一个小镇上，有一个存放着各种重要物资的地方，那就是 depot 。它像一个神奇的宝库，里面有食物、工具和药品等。每当人们需要什么，就会来到这个 depot 寻找，它是大家生活的保障。 **想象在小镇上有个存放重要物资的地方叫 depot，像宝库，有食物、工具和药品等，人们需要时就来此寻找，是生活保障。**
